# Problem = Knapsack
# Variables = 1
# Objectives = 2
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011010001001010100111111110000101010100011011001010010110010011100111101110011000001001110000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.14520919974893332 49.0
11111111010111101001011100001100000100011000000101011100011110010101000111011000101110100011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110001110110010010111111111111011010100110010001111100111111111011111111111011000010101001100101100010100111000100000000110001000000000110010000000110010001000100001011001010100101010100 -0.3419893007376231 227.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111010001001010100111111111100101010100111011001111011110010111100111101111011001001101110000000000000000000100000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.17405230016447604 61.0
00000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000011111011001001010100111111111010101010100011111001011010110110111100111101111011000011100110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.17807219980750233 62.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101011001001010100111111111000101110100011011001011010110010111100111101111011000011001010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.16344199981540442 56.0
10000110010111011010011100001000000100010000000000111100010010010111000000100000011110000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110001100110010000001111110111101000001100010001011100111111101011101110111011000010000000000100000000100001000000000000110000000000000010100000000100010001000100001011000010000011010100 -0.32342060047085397 186.0
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111010001001010100111111110000101110000011011001011010110010011000111101110011000001000110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.15269049967173487 52.0
00000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010111011001001010100111111010000101010100011011001110010110010111100111101111101000011000110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.1598507995950058 55.0
10010011010110000000011100000000001000010000000000011000000000000100000000010000000110000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000100100010000101111010110000000000100010100001100111111100011101110111010000010000000000100000000100001000000000000110000000000000010000000000100010001000100001011001010000000000100 -0.3062109004240483 160.0
10000111110110000000010100000000001000000000000000011000000010010100000000000000000110000000111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111110000100110010010001111010110000000000110010000001100101111110011101110111010000010000000000100000000100000000000000000110000000000000010000000000100010001000100001011001010000000010000 -0.303946400526911 159.0
10000010010010000010000000000000000000000000000000001000000000000000010000000000000000000000111111111111111011110111111111111101111111111111111111111111111111111111111111111111111111110000000100000000000100000000000000000100010000001000000101000011100010000010000000000000000000000000100001000000000000100000000000000000000000000000000000000000001010000010000000000000 -0.26288389996625483 114.0
00000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000011111011011001010101111111111110101010110010111101011010110110111100111101111011000011100110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.18471629999112338 66.0
10000010010010010000000000000000000000000000000000001000000000000000000000000000000000000000111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111110000000100000000000110000000000000000000010000001000000000000001100010001000000000000000000100000000100001000000000000100000000000000000000000000100000000000000001010001010000000000000 -0.2658277999726124 115.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101011001001010100111111110000101010100011011001011010110010111000111101111011000001001110000000000000000000100000000000000000000000000001000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.15515509969554842 53.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111011001001010100111111111110101010011011111001111010110010111101111101111111001011101110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.18870719987899065 67.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000111111011111111111111111111111111111111111111111111111011111111111111111111111111111111111110000000000000000000110000000000000000100000000001000000000000001100010001000000000000000000100000000100001000000000000100000000000000000000000000000000000000000001010001010000000010000 -0.2615972000057809 112.0
00000000010010000000000000000000000000000000000000001000000000000000000000000000000000000000011111011101011010101111111111010101110111111111101011010110111111101111111111111000011111110000000000000000000100000000000000000000000000001000000000000001100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.21011109999381006 79.0
10000000010010000000000000000000000000000000000000001000000000000000000000000000000000000000011111011011011011111111111111111101110111011111111111011101111111111111101111111001111111110000000000000000000100000000000000000000000000001000000000000001100000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000010000000000000000000 -0.23030600021593273 91.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111010001001010100111111110010101010101010111001010010110010111000111101111001000001100110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.15765209961682558 54.0
00000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010111011001011011100111111111010101110110011011001011011110111111111111111111010001011111110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000 -0.19828569993842393 73.0
10011011010110000000010100000000001000000000000000011000000000000100000000000000001100000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000100110010000001110010110000000000100010001001100111101110011101110111010000000000000000100000000100001001000000000110000000000000010000000000100000001000100001011001010000000010000 -0.30288970039691776 156.0
10100110010111100010011110001100100100010000000000111100100010010100000101111000011100000101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110011100010010000101111110111000100000110010100011100111111101011111110111011000010100000001100000000100001000000000000110000000000000010000000000100010001000100001011001010000000010100 -0.3263645005354192 192.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111011011001010101111111111010101110111111111101011011110111111111111111111111001110101110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000 -0.20785460015758872 78.0
10101111010110111000010100101100001100010000000100111100000010000100000100010000001110000100111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110001100100010010001111110110101110010110010001111100101111111111101111001011000010100000000101000000100001000100000000110000000000000010000000000110010001000100001011000010000000000100 -0.32394910050788894 190.0
00000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000011111011001111010101111111111010101010111111111101011010110110111101111101111111000111101110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.20118480001110584 74.0
10000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000111111011101011011101111111111111101010111111111111111011111111111101111111111111001111111110000000000000000000100000000000000000000000000001000000000000001100000000010000000000000000000000000100001000000000000000000000000000000000000000000000000000000001010000000000000000000 -0.23326830030418932 92.0
10000000010010000000000000000000000000000000000000001000000000000000000000000000000000000000111111111101111011111111111111111111110111111111111111111111111111111111111111111111111111110000000000000000001100010000000000000000000000001000001000000001100000000010000000000000000100000000100001000000000000100000000000000000000000000100000000000000001010001010000000100000 -0.25918540015118197 111.0
