# Problem = Knapsack
# Variables = 1
# Objectives = 2
11011111011110111011111110000100011100010100110100111100110111111110000110011000111111011011010111010011001110111111110111000111011001011111111111110110111111111110111111010110011100110000000000100001000110000001000000100101010000001010101100000011100110101110000010100000000100000000100001000000000000110000000000000010000101000100010001000100001011001010000000000000 -0.3872294982429594 167.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000100000000010000000010000000001000000000000000101011001110000000000010000000000000000000000000000100000000000000000000000001001000000000000000100000000000000000000000000000000000100001000000000000100000000000000000000000000100000000000100000010000010000000000000 -0.10733729787170887 25.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011000100000000010000000010000000001000000000000000100011001010000000000100000000000000000000000000000100000000000000000000000001011000000000000001100000000000000000000000000000000000100001000000000000100000000000000000000000000100000000000100000010000010000000000000 -0.11548949778079987 28.0
00000010110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000010000000110000000001000000000000100000011011010010000010010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100001000000000000100000000000000000000000000100010000000100001010000010000000000000 -0.12681199796497822 29.0
10000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000010000000010000001001010000000000100100011001010010100000000000000000000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000100000000000000010000000000100000000000100000010000010000000000000 -0.13813449814915657 30.0
10000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000010001000110001000001000000001000100101010011010010001000110000000000000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000000000100001010000010000000000000 -0.1580620976164937 35.0
11011110011110111011101110001100011100010100110100111100110111111110000110011000110111011011010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000100001000110000001000001100101010000001000101100000011100010101110000010100000000100000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.38541789818555117 161.0
11010111011110111001101010001100001000010000010100001100110011111100000111010000101101011001010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000100001000100000001000000100101010000001000000000000011100010101110000010100000000100000000100001000000000000110000000000000010000001000100010001000100001011001010000000000000 -0.37137799779884517 145.0
10000010010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000100001000010100000110001001001000000000000100101010011010010000000110000000000000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000000000100001010000010000000000000 -0.17029039794579148 38.0
11011111011110111011101110000100011100010100110100111100110111111110000111011000110111011011010111010011001110111111110111000111011001011111111011110110111111111110111111010110011101110000000000100001000110000001000000100101010000001010101100000011100110101110000010100000000100000000100001000000000010110000000000000010000000000100010001000100001011001010000000000000 -0.3863236982142553 165.0
00000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000100000000010000000010001000011000000000000100100011011010010000000010000000000000000000000000000000000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000100000000000000000000000000100010000000100001010000010000000000000 -0.1417576977983117 31.0
10000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100001000010001000110001000001000000001000100101010011010010001000010000000000000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000010000000000100010000000100001010000010000000000000 -0.16304399771615863 37.0
10000010010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000100001000010100000110001001001000000000000100101011011010010000000110000000000000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000000000100001010000010000000000000 -0.17300779791548848 39.0
10000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000010010000000001000010000000010000001011000000000000100100010011110010000000010000000000000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000100000000000000000000000000100000001000100001011000010000000000000 -0.15036279789637774 34.0
11001011010110010001111100001000011100010000010100001100110001111110000011010000101101011011010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000000001000100000001000000100101010100001000001000000011100010101010000010100000000100000000100001000000000000110000000000001010000000000100010001000100001011001010000000000000 -0.36820769775658846 143.0
10000010010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100011000110100000010001001011000100000000100100010011010000000010110000000010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000000000100001011000010000000000000 -0.17708389787003398 41.0
11000110010110110001111100001100011000010000110100101100110011101110000011011000101111011001010111010011001111111111110111000111011001011111111011110110111111111110111111010110011100110000000000100001000110000001000000100101010000001000000100000011100010101110000010100000000100000000100001000000000000110000000000000010000001000100010001000100001011001010000000000000 -0.3740953978849575 149.0
11010111010110111011111110000100011000010000110100111100110010111110000111011000011111011011010111010011001110111111110111000111011001011111111011110110111111111110111111110110011100110000000000100001000110000001000000100101010000001000001000000001100110101110000010100000000100000000100001000000000000110000000000000010000001000100010001000100001011001010000000000000 -0.3799830980133265 156.0
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000010001000100001000001000000000000100101010011010010000000110000000000000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100010000000100001010000010000000000000 -0.14764539757743478 32.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000000010010010000100011000110101000110001001001000101000000100101010011110010000010110000000010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000001000100001011000010000000000000 -0.20471079787239432 50.0
10000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010010000100011000010101000110001001001100100000010110101010011010010000000110000000010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000001000100001011000010000000000000 -0.19474699767306447 47.0
11000010010010010001000100001000000000000000000100001000110001001000000011010000000000001010010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000100000000100000001000000100001010000001000001000000001100010100110000010100000000100000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.3464684970676899 117.0
11010010011010000001000000000000000001000000000100001100100001001000000010000000000100010010010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000000000000100000001000000100101010000001000000000000001100010100110000010100000000000000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.3428452970692888 114.0
10000011010010000001000000000100001101000000000100101000100000001000000010010000001001010010010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000100000000100000001000000010000010000001000000000000001100010100110000000000000000000000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.339222097187303 113.0
10000010010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000100001000010101000110001001001000100000100100101010011010010000000110000000000000000000000000000100000000000010000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000000000100001010000010000000000000 -0.1793483980000019 42.0
10000010010010000000000000000000000000000000000000000000000000000000000000000000000000001000000000010010000100101000010100000110001001001001110010000110101010011110010000010110000000010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000001000100001010000010000000000000 -0.199275997816585 49.0
11000011010110010001111000001000011000010000010100001100110001111110000011010000101101011001010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000100101000110000001000000100101010000001000000000000011100010101110000010100000000100000000100001000000000000110000000000000010000001000100010001000100001011001010000000000000 -0.36684899765532464 141.0
11011111011110111011111000001100011000010100110100111000110110011010000110011000011111001011010111010011001110111111110111000111011001011111111111110110111111111110111111010110011100110000000000100001000100000001000000100101010000001000000100000011100110101110000010100000000000000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.3763598980149254 152.0
11001011010110010011111100011000011100010000010100001100110001111111000011010000101101011011010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000100001000110000001000000100101010000001010001000000011100010101010000010100000000100000000100001000000000000110000000000000010000001000100010001000100001011001010000000000000 -0.3722837978275493 148.0
10000010010110010001001000000000000000000000000100001000110011001100000010010000100001000010010111010011001110111111110111000111011001011111111011110110111111111110111111010110011100110000000000100000000100000000000000000000000000001000000000000001100010100010000010100000000000000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.3378633972024545 111.0
10000010010010010001000000000000000000000000000100001000100010000100000010000000000001000000010111010011001110111111110111000111011001011111111011110110111111111110111111010110010100110000000000100000000100000000000000000001000000001000000000000001100000100000000010100000000000000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.32563509698957205 101.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000000111000011000100001100010110000110001001011011110010010110101010011110010010000110000000010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000010000000000100000001000100001011001010000000000000 -0.2291673975996673 59.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000010011000011001100011100110111000110011001011111110011010110101011011010010010000110000100010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000010000000000100000001000100001011001010000000000000 -0.2509065973572433 67.0
10000010000010000000000000000000000000000000000000001000000000000000000000000000000000000000000100000010000100011000010101000110011001001000110000000100101010011110011010010110001000010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000010000000000100010000000100001010001010000000000000 -0.2092397976666689 52.0
10000010000010000000000000000000000000000000000000001000000000000000000000000000000000000000000010010011001100011000110111000110001001001011111000010110101010011110011000010110000000110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100010000000100001010000010000000000000 -0.22554419748485088 58.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000000010010011001100001000110101000110001001001101100000010100101010011110010000010110000000010000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100000001000100001011000010000000000000 -0.21286299778148532 53.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000010100010011001110111100110111000111011001011111111011110110111011111110010110010110011100110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000010000000000100010001000100001011000010000000000000 -0.2862327969633043 80.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000000101000010001110011100010111000111011001011111111001110110111011111110110100010110010100110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000000000000000100010001000100001011001010000000000000 -0.2699283971451223 74.0
10000010000010000000000000000000000000000000000000001000000000000000000000000000000000000000000100000010000100001000010101000110001001001000000000000100101010011110010000000110001000000000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000010000000000100010000000100001010000010000000000000 -0.18387739779427648 43.0
10000010010010000001000000000000000000000000000000001000000000000000000000000000000000000000000101000011001110011100110111000111011001011111011011010110111011111110011100010110010100110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.27626899699680507 77.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000001000101010010000110111110010111000110001001011111111001100110111111111110111011000110010100110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100001000000000000100000000000000000000000000100010000000100001010001010000000000000 -0.2653993972344324 73.0
10000010010010000001000000000000000000000000000000001000000000000000000000000000000000000000010111010011001110111101110111000111001001011111111011110110101110111110011111010110011100110000000000000001000100000000000000000000000000001000000000000011100000000000000000000000000000000000100001000000000000110000000000000010000000000100010001000100001011001010000000000000 -0.3011784969130531 87.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000010111010011001110111100110111000111011001011111111011110110111011111110010111010110011100110000000000000000000100000000000000000000000000001000000000000001100010000000000000000000000000000000100001000000000000110000000000000010000000000100010001000100001011000010000000000000 -0.2957436968572438 84.0
