# Problem = Knapsack
# Variables = 1
# Objectives = 2
10110111111110111011101110000100011100010110010100101000110011010111011110000000101110000110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110010100110111011001111110111100100101100010001011100111111101011101110111111110110100001100100100000100001000000000000110010110000100010100010100100010001100111001011001010100110011100 -0.34281960074440576 228.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110011001001000000111111001001001110000010101001000011110110110100111100011010000011000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000 -0.12803529988741502 44.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110011001001000000111011011101001110000010101000111010110010110100111100011010000010000110010000000000000000100000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.13517249998403713 47.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111011001010000000101111011101101100100011111001101001110010111100111100011011000011000110000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.14403900015167892 50.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010110111001011000000101111011101101110001110111001110000110110110100111101111011000011000110000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.15138429997023195 53.0
00000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000011111011001001010100101111111101101110000001111001101010110110111100111111111011000011101110000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.17270019988063723 61.0
10000010010010000000000000000000000000000000000000001000000000000000000000000000000000000000111111111011011111111111111111111101111111111111111111111111111111111111111111111001111111110000000000000000000100000000000000000000010000001000000000000001100010001000000000000000000100000000100000000000000000100000000000000000000000000100000000000100000010000010000000000000 -0.25480019999668 106.0
10000010000010000000000010000000000000000000000000000000000000000000000000000000000000000000111111111111111011101111111111111101110111111111101111111111111111111111111111111111111111110000000000000000000100000000000000000100000000001000000000100001100010000000000000000000000100000000100000000000000000000000000000000000000000000100000000000100001010000010000000000000 -0.2517881001695059 105.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111011001011000000111011011101101000000011111000111011110010111100111111111011000011000110000000010000000000100000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.1612109000561759 57.0
10000010010010000000000000000000000000000000000000000000000000000000000000000000000000000000011111111011011011101111111111111101110111111111111111111111111111111111111111111001111111110000000000000000000100000000000000000000000000001000000000000001100000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000100000000000000000000000000 -0.23751100024674088 94.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111011101011001001111111111101101110000010111000111011110110111100111101111110000011100110000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.16940310026984662 60.0
10011111111010010101010100000100001100010010000100101000110000000101000010110000101100000110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110011100110010001001111000111000000000100010001011100111111101011101110111111000011000000000100000000100001000000000000110000010000000010000000000100010001000100001011001010100000000000 -0.32372290058992803 186.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010110011001000010000101111001001101100100010111000010011110110111100111000111010000110001010000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.12970030010910705 46.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010110011001011010000101111011101101110001010101001011011110010111100111101111011000011000110000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.1565900999121368 54.0
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111011001011010101101111111001101110000011111101111011110110111100111101111110001011100110000000000000000000000000000000000000000000000001000001000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.1819444001885131 65.0
00000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000011111011001011010100111111111001101110111111111001111011111111111111111101111111001111100110000000000000000000100000000000000000000000000001000000000000001100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.20774590002838522 77.0
