# Problem = Knapsack
# Variables = 1
# Objectives = 2
100000100101010000101101001000001110111100001010110110111110110111011111010101 -0.31461840379051864 41.0
100000100101010000101101001000001010110100001010110010111110110111011111010101 -0.3067837036214769 38.0
100000100101010000101101001000000010110100001010110100111110110111011111010101 -0.30357860354706645 37.0
100000100100010000101101001000001010011100001011010110111110100011011111010101 -0.29752450343221426 36.0
100010000101010000101001001000001010110100001010110100111110110011011111000101 -0.2943194033578038 35.0
100000100100010000101101001000000010111100001010110100111110110011011111000001 -0.29396330332383513 34.0
100000100101010000101101001000000010010100000010110110111110100011011111000101 -0.2907582032494247 33.0
100000000101010000101001001000000010110100001010110100111110100011011111000101 -0.28790920320898294 32.0
100000000101010000101001001000000010010100001010110100111110100111011111000001 -0.2847041031345725 31.0
100000000100010000101001001000001010010100000010010100111110100111011111000101 -0.28185510309413075 30.0
100000000100010000001101001000000110011100001010010000111110100011011111000001 -0.27651330293156207 29.0
100000000100010000001001001000001010010100001010010000011110110011011111000101 -0.2728141029365361 28.0
100000100100010000001001001000000010010100000010010000111110100011011111000101 -0.27223980287089944 27.0
100000000100010000001001001000000010010100000010010000111110100011011111000001 -0.26582960272207856 25.0
100000000000010000001001001000000010010100000010110000111110100011001111000001 -0.2564324028789997 24.0
100000100100010000001001001000000010010100000010010000111110100001000111000001 -0.2498843027278781 23.0
100000000100010000001001001000000010010100000010010100011110100011000011000001 -0.24569110246375203 22.0
100000000100010000001001001000000010000100000010010100011110100011000011000001 -0.23928080266341567 21.0
100000000100010000001001000000000000010100000010010000011110100011000111000001 -0.23265230236575007 20.0
100000000100010000001001001000000010000100000010010000011110100001000011000001 -0.2285971026867628 19.0
100000000100010000001001001000000000000100000010010000011110100001000011000001 -0.22218680288642645 18.0
100000000000000000001001001000000000000000000010010000111110100011000011000001 -0.2137064035050571 17.0
100000000000010000001001000000000000010100000000010000011110100001000011000001 -0.20366820227354765 16.0
100000000000000000001001001000000000000000000010000000111110100001000011000001 -0.19696850329637527 15.0
000000000000010000001000001000000000000000000010010000011110100001000011000001 -0.18956560268998146 14.0
100000000000000000001001000000000000000100000000000000011110100001000011000001 -0.18030630238354206 13.0
000000000000000000001001001000000000000000000000000000011110100001000011000001 -0.17261400260031223 12.0
000000000000000000001000000000000000000100000000000000011110100001000011000001 -0.16178770177066326 11.0
000000000000000000000000001000000000000000000000000000011110100001000011000001 -0.15409540198743343 10.0
000000000000000000000000000000000000000000000000000000011110100001000011000001 -0.14483610168099403 9.0
000000000000000000000000000000000000000000000000000000010110100001000011000001 -0.1320402016863227 8.0
000000000000000000000000000000000000000000000000000000011010100000000011000001 -0.12043940182775259 7.0
000000000000000000000000000000000000000000000000000000010010100000000011000001 -0.10764350183308125 6.0
000000000000000000000000000000000000000000000000000000000010100000000011000001 -0.09244950208812952 5.0
000000000000000000000000000000000000000000000000000000000010100000000011000000 -0.07548950146883726 4.0
000000000000000000000000000000000000000000000000000000000010000000000011000000 -0.057834201492369175 3.0
000000000000000000000000000000000000000000000000000000000010000000000010000000 -0.03651410061866045 2.0
000000000000000000000000000000000000000000000000000000000000000000000010000000 -0.015193999744951725 1.0
#
