# Problem = Knapsack
# Variables = 1
# Objectives = 2
000000000000000000000000000100000000000001100000000100001000000000000000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.6559541076421738 11.0
111100000000101000000001011111111100101111111111111111111111111111111111111111101110010111111111000000010010100001001100101010000011111111111111111111111111110000000001001111000001110100100100010 -2.43226082297042 120.0
000000000000000000000000000100000000000001100000000100001000000000001000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.6995326094329357 12.0
000000000000000000000000000100000000000001100000000100011000000010000000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.7452685087919235 13.0
000000000000000000000000000100000000000001110000000100011000000010000000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.7871243096888065 14.0
000000000000000000000000000100000000000001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.8307028114795685 15.0
000000000000000000000000000100000000000001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010011100000001000000000000000000000000000000000000000 -0.8722390122711658 16.0
000000000000000000000000000100010000000001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010011100000001000000000000000000000000000000000000000 -0.91349321231246 17.0
000000000000000000000000000100001000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010011100000001000000000000000000000000000000000000000 -0.954747412353754 18.0
000000000000000000000000000100011000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010011100000001000000000000000000000000000000000000000 -0.9960016123950481 19.0
000000000000000000000000000100011000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000011000000010011100000001000000000000000000000000000000000000000 -1.03611621260643 20.0
000000000000000000000000000100011000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.076002310961485 21.0
000000000000000000000000000100011000100001110000000100111000000010001000000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.1132376119494438 22.0
000000000000000000000000000101011000100001110000000100111000000010001000000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.1495601125061512 23.0
000000000000000000000000000101011000101001110000000100111000000010001000000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.1858826130628586 24.0
000000000000000000000000000101011000101001110000000100111000000010001100000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.222085814923048 25.0
000000000000000000000000000101011000101001110000000100111000000010011100000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.2577306143939495 26.0
000000000000000000000000000101011000101001110000000100111000000010011100000001000000000000000000000000000000000000000000000000000001111000000010011100000001000000000000000000000000000000000000000 -1.2919610142707825 27.0
000000000000000000000000000101011000101011110000000100111000000010011100000001000000000000000000000000000000000000000000000000000001111000000010011100000001000000000000000000000000000000000000000 -1.3261052146553993 28.0
000000000000000000000000000101011000101011110000000100111000000010011100000001000000000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.3602494150400162 29.0
000000000000000000000000000101011000101011110000000100111000000010011100000011000000000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.3939032144844532 30.0
000000000000000000000000000101011000101011110000000100111000000011011100000011000000000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.4275570139288902 31.0
000000000000000000000000000101011000101011110000000100111000000011011100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.4612108133733273 32.0
000000000000000000000000000111011000101011110000000100111000000011011100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.4900028128176928 33.0
000000000000000000000000000111011000101011110000000100111000000011111100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.5164449121803045 34.0
000000000000000000000000000111111000101011110000000100111000000011111100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.5421360116451979 35.0
000000000000000000000000000111111000101011110000000101111000000011111100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.5674389116466045 36.0
000000000000000000000000000111111000101011110000000101111000000011111101000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.5892968121916056 37.0
000000000000000000000000000111111000101011110000000101111000000011111111000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.6111547127366066 38.0
000000000000000000000000000111111000101011110000000101111000000011111111000011000100000000000000000000000000000000000000000000000001111000000010111100000101000000000000000000000000000000000000000 -1.630229713395238 39.0
000000000000000000000000000111111000101011111000000101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.652087613940239 40.0
000000000000000000000000000111111000101011111000100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111101011101000000000000000000000000000000000000000 -1.7474626172333956 45.0
000000000000000000000000000111111000101011111100100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111101011101000000000000000000000000000000000000000 -1.766537617892027 46.0
000000000000000000000000000111111000101011111000000101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111100000101000000000000000000000000000000000000000 -1.6711626145988703 41.0
000000000000000000000000000111111000101011111001000101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111100000101000000000000000000000000000000000000000 -1.6902376152575016 42.0
000000000000000000000000000111111000101011111001000101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111100010101000000000000000000000000000000000000000 -1.709312615916133 43.0
000000000000000000000000000111111000101011111000100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111111000101000000000000000000000000000000000000000 -1.7283876165747643 44.0
000000000000000000000000000111111000101011111101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111101011101000000000000000000000000000000000000000 -1.7856126185506582 47.0
000000000000000000000000000111111000101011111101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111111011101000000000000000000000000000000000000000 -1.8046876192092896 48.0
000000000000000000000000000111111000101011111101100101111000001011111111000111000100000000000000000000000000000000000000000000000001111000000010111111011101000000000000000000000000000000000000000 -1.8223843183368444 49.0
000000000000000000000000000111111000101011111101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000011010111111011101000000000000000000000000000000000000000 -1.8403268195688725 50.0
000000000000000000000000000111111000101011111101100101111100000011111111000111000100000000000000000000000000000000000000000000000001111110010010111111011101000000000000000000000000000000000000000 -1.8758431188762188 52.0
000000000000000000000000000111111000101011111101100101111100001011111111000111000100000000000000000000000000000000000000000000000001111110010010111111011101000000000000000000000000000000000000000 -1.8935398180037737 53.0
000000000000000000000000000111111000101011111101100101111000001011111111000111000100000000000000000000000000000000000000000000000001111010010010111111011101000000000000000000000000000000000000000 -1.8580235186964273 51.0
000000000000000000000000000111111000101011111101100101111110001011111111000111001100000000000000000000000000000000000000000000000001111110011010111111011101000000000000000000000000000000000000000 -1.9434792175889015 56.0
000000000000000000000000000111111000101011111101100101111100001011111111000111000100000000000000000000000000000000000000000000000001111110011010111111011101000000000000000000000000000000000000000 -1.9113594181835651 54.0
000000000000000000000000000111111000101011111101100101111110001011111111000111001100000000000000000000000000000000000000000000000001111110010010111111011101000000000000000000000000000000000000000 -1.92565961740911 55.0
000000000000000000000000000111111000101111111101111111111110001111111111010111100110000000100000000000000000000000000000000000000011111110011011111111011101000000000000000000000000000000000000000 -2.0853063203394413 66.0
011100000000100000000000000111111000101111111111111111111111111111111111111111101110010111111111000000010010000000000000000000000011111111111111111111111111010000000001010111000001110000000000000 -2.376171423122287 102.0
000000000000000000000000000111111000101011111101101101111110001011111111000111101110000000000000000000000000000000000000000000000001111110011010111111011101000000000000000000000000000000000000000 -1.986748518422246 59.0
000000000000000000000000000111111000101011111101111101111110001011111111000111001110000000100000000000000000000000000000000000000001111110011010111111011101000000000000000000000000000000000000000 -2.0011716187000275 60.0
000000000000000000000000000111111000101011111101101101111110001011111111000111000100000000000000000000000000000000000000000000000001111110011011111111011101000000000000000000000000000000000000000 -1.957902317866683 57.0
000000000000000000000000000111111000101111111101100101111110001111111111000111001100000000000000000000000000000000000000000000000001111110011010111111011101000000000000000000000000000000000000000 -1.9723254181444645 58.0
000000000000000000000000000111111000101111111101100101111111001111111111000111100110000100100000000000000000000000000000000000000011111111011011111111011101000000000000000000000000000000000000000 -2.0660754200071096 65.0
000000000000000000000000000111111000101011111101111111111110001011111111000111001110000000100000000000000000000000000000000000000001111110011010111111011101000000000000000000000000000000000000000 -2.015594718977809 61.0
000000000000000000000000000111111000101011111101111111111110001111111111000111001100000000000000000000000000000000000000000000000011111110011011111111011101000000000000000000000000000000000000000 -2.0300178192555904 62.0
111100000000100000000000000111111000101111111111111111111111111111111111111111101110010111111111000000010010000000000000000000000011111111111111111111111111010000000001010111000001110000000000010 -2.3841842231340706 104.0
000000000000000000000000000111111000101111111101111111111110001111111111010111101110000100100000000000000000000000000000000000000011111110011010111111011101000000000000000000000000000000000000000 -2.0973255205899477 67.0
000000000000000000000000000111111000101011111101111111111110001111111111000111000110000000100000000000000000000000000000000000000011111110011011111111011101000000000000000000000000000000000000000 -2.044440919533372 63.0
000000000000000000000000000111111000101111111111111111111110111111111111010111101110000100100000000000000000000000000000000000000011111111111111111111011101000000000000000000000000000000000000000 -2.1838638223707676 74.0
000000000000000000000000000111111000101111111101111111111111101111111111001111101110000000100000000000000000000000000000000000000011111111011011111111011101000000000000000000000000000000000000000 -2.135787021368742 70.0
000000000000000000000000000111111000101011111101111111111110111111111111010111101110000100100000000000000000000000000000000000000011111110011011111111011101000000000000000000000000000000000000000 -2.1213639210909605 69.0
000000000000000000000000000111111000101111111111111111111111111111111111011111101110000101100000000000000000000000000000000000000011111111111111111111011111000000000000000000000000000000000000000 -2.231940623372793 78.0
000000000000000000000000000111111000101111111111111111111111101111111111011111101110000000100000000000000000000000000000000000000011111111111111111111111101000000000000000000000000000000000000000 -2.195883022621274 75.0
000000000000000000000000000111111000101111111111111111111111101011111111001111101110000000100000000000000000000000000000000000000011111111111111111111111101000000000000000000000000000000000000000 -2.169440722092986 73.0
000000000000000000000000000111111000101111111111111111111110001111111111001111101110000000100000000000000000000000000000000000000011111111011111111111111101000000000000000000000000000000000000000 -2.1478062216192484 71.0
000000000000000000000000000111111000101111111101111111111111101111111111110111101110010100100000000000000000000000000000000000000011111111111111111111011111000000000000000000000000000000000000000 -2.2079022228717804 76.0
000000000000000000000000000111111000101111111111111111111110101111111111111111101110010100100000000000000000000000000000000000000011111111111111111111011111000000000000000000000000000000000000000 -2.219921423122287 77.0
000000000000000000000000000111111000101111111111111111111111111111111111111111101110010101100000000000000000000000000000000000000011111111101111111111111111000000000000000010000000000000000000000 -2.2549863238818944 81.0
000000000000000000000000000111111000101111111101111111111110101111111111000111101110000100100000000000000000000000000000000000000011111110011011111111011101000000000000000000000000000000000000000 -2.111748620867729 68.0
000000000000000000000000000111111000101111111111111111111111111111111111111111101110010101100000000000000010000000000000000000000011111111111111111111111111000000000000000000000000000000000000000 -2.272805924061686 82.0
000000000000000000000000000111111000101111111101111111111111111111111111001111101110000100100000000000000000000000000000000000000011111110011011111111111101000000000000000000000000000000000000000 -2.159825421869755 72.0
000000000000000000000000000111111000101111111101111111111111001011111111000111001100000000100000000000000000000000000000000000000011111110011011111111011101000000000000000000000000000000000000000 -2.0564601197838783 64.0
000000000000000000000000000111111000101111111111111111111111111111111111111111101110010101100000000000000010000000000000000000000011111111111111111111111111000000000000000000000001000000000000000 -2.277613623999059 83.0
000000000000000000000000000111111000101111111111111111111111111111111111111111101110010111101010000000000000000000000000000000000011111111111111111111111111000000000000000000000000000000000000000 -2.2896328242495656 84.0
000000000000000000000000000111111000101111111111111111111111101111111111111111101110010101100000000000000000000000000000000000000011111111111111111111011111000000000000000000000000000000000000000 -2.2439598236232996 79.0
000000000000000000000000000111111000101111111111111111111111111111111111001111101110010101100000000000000000000000000000000000000011111111111111111111111111000000000000000000000000100000000000000 -2.248767523560673 80.0
011100000000000000000000001111111000101111111111111111111111111111111111111111101110010111101101000000010010000000001000000000000011111111111111111111111111000000000000000101000001100000000000000 -2.3473252234980464 96.0
111100000000000000000000000111111000101111111111111111111111111111111111111111101110010111101111000000010010100000000000000000000011111111111111111111111111000000000000010001000001100000000000000 -2.35213292343542 97.0
000000000000000000000000000111111000101111111111111111111111111111111111111111101110010111101011000000000000000000000000000000000011111111111111111111111111000000000000000010000000000000000000000 -2.2992482241243124 86.0
001000000000000000000000000111111000101111111111111111111111111111111111111111101110010111100010000000000010100000000000000000000011111111111111111111111111000000000000010001000000100000000000000 -2.3136713239364326 89.0
001000000000000000000000000111111000101111111111111111111111111111111111111111101110010111100100000000000010000000001000000000000011111111111111111111111111000000000000000010000000000000000000000 -2.304055924061686 87.0
000100000000000000000000000111111000101111111111111111111111111111111111111111101110010111101110000000010010000000000000000000000011111111111111111111111111000000000000000000000001100000000000000 -2.318479023873806 90.0
000000000000000000000000000111111000101111111111111111111111111111111111111111101110010111101101000000000110000000000000000000000011111111111111111111111111010000000000000000000000000000000000000 -2.308863623999059 88.0
000100000000000000000000000111111000101111111111111111111111111111111111111111101110010111101011000000010010000000000000000000000011111111111111111111111111000000000000000001000001100000000000000 -2.3232867238111794 91.0
000100000000000000000000000111111000101111111111111111111111111111111111111111101110010111100011000000000000000000000000000000000011111111111111111111111111000000000000000000000000000000000000000 -2.294440524186939 85.0
000100000000000000000000000111111000101111111111111111111111111111111111111111101110010111101010000000010011000000000000000000000011111111111111111111111111100000000000010000000001100000000000000 -2.328094423748553 92.0
111100000000100000000000000111111000101111111111111111111111111111111111111111101110010111101111000000010010100000000000000000000011111111111111111111111111000000000001010001000001110000000000010 -2.3697611233219504 101.0
011000000000100000000000000111111000101111111111111111111111111111111111111111101110010111101001000000010010100000000000000000000011111111111111111111111111000000000000000001000001100000000000000 -2.332902123685926 93.0
011100000000000000000000000111111000101111111111111111111111111111111111111111101110010111101111000000010010000000000000000000000011111111111111111111111111000000000000000001000001100000000000000 -2.3377098236232996 94.0
011100000000000000000000000111111000101111111111111111111111111111111111111111101110010111111011000000010010000000001000000000000011111111111111111111111111001000000000000000000001100000000000000 -2.342517523560673 95.0
011100000000100000000000001111111000101111111111111111111111111111111111111111101110010111101101000000000010000000001000000000000011111111111111111111111111000000000001001101000001100000000000000 -2.356940623372793 98.0
011100000000100000000000000111111000101111111111111111111111111111111111111111101110010111101111000000010010000000000000000000000011111111111111111111111111010000000000010111000001100000000000000 -2.3617483233101666 99.0
111100000000110000000000001111111000101111111111111111111111111111111111111111101110010111101111000000010010000000001100100000000011111111111111111111111111010010000000011111000001111000000100010 -2.4090238232165575 111.0
011100000000110000000000000111111000101111111111111111111111111111111111111111101110010111101111000000010010100000000000010000000011111111111111111111111111100010000001011101000001110000000000010 -2.3905944232828915 106.0
011100000000100000000000001111111000101111111111111111111111111111111111111111101110010111101111000000010010100000001000000000000011111111111111111111111111010000000001000001000001100000000000000 -2.36655602324754 100.0
111100000000100000000000001111111000101111111111111111111111111111111111111111101110010111101101000000010010000000000100000000000011111111111111111111111111110000000001011111000001111000100000000 -2.395402123220265 107.0
111100000000100000001000000111111000101111111111111111111111111111111111111111101110010111111111000000010010100000001001010000000011111111111111111111111111010000000001011111000001110000010000000 -2.4042162229306996 110.0
111100000000110000000000001111111100101111111111111111111111111111111111111111101110010111101111000000010010000011001110000000000011111111111111111111111111110000000001011111000001111000000000010 -2.4186391229741275 114.0
011100000000111000000000001111111100101111111111111111111111111111111111111111101110010111101111000000010010100011000111010000000011111111111111111111111111110000000001011111000001111000000000010 -2.4234467232599854 116.0
011100000000111000000000011111111000101111111111111111111111111111111111111111101110010111111111000000010010100001001100010000000011111111111111111111111111110010100001011111000001110000000100010 -2.4290558230131865 117.0
011100000000100000000000001111111000101111111111111111111111111111111111111111111110010111111111000000010010000000001100000000000011111111111111111111111111001000000000001110000001111000000000000 -2.387389323208481 105.0
011100000000110000000000001111111000101111111111111111111111111111111111111111101110010111111111000000010010000010001110000000000011111111111111111111111111010000000000011111000001111000000000000 -2.4010110232047737 109.0
011100000000101000000000001111111000101111111111111111111111111111111111111111101110010111111111000000010010000000000100100000000011111111111111111111111111010000000001011111000001111000000000000 -2.3986072232946754 108.0
111100000000111000000000001111111100101111111111111111111111111111111111111111101110010111101111000000010110000000000100000000000011111111111111111111111111110000000001011111000001111000000000010 -2.413831523153931 112.0
111100000000111001000000001111111000101111111111111111111111111111111111111111101110010111111111000000110010100000001110000000000011111111111111111111111111110000000001010111000001110000000100010 -2.4218443231657147 115.0
111100000000111000000000001111111100101111111111111111111111111111111111111111101110010111101111000000010110000001000100100000000011111111111111111111111111010000000001011111000001111000000000010 -2.4146327232010663 113.0
111100000000111000000001001111111100101111111111111111111111111111111111111111101110010111111111000000010010100001001100100000001011111111111111111111111111110010100001011111000001010000000100010 -2.4306583227589726 119.0
