# Problem = Knapsack
# Variables = 1
# Objectives = 2
000000000000000000000000000111111000101011111101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111111011101000000000000000000000000000000000000000 -1.2108177980408072 48.0
000000000000000000000000000111111000101011110101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111111011101000000000000000000000000000000000000000 -1.1981010977178812 47.0
000000000000000000000000000111111000101011111101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000010010111111011101000000000000000000000000000000000000000 -1.2226974982768297 49.0
000000000000000000000000000111111000101011111101100101111110001011111111000111000100000000000000000000000000000000000000000000000001111110011010111111011101000000000000000000000000000000000000000 -1.2937299981713295 55.0
100000000000000000000000000111111000101111111111111111111111111111111111111111101110010111110000000000001000000000000000000000000011111111111111111111111111000000000000010000000001100000000000000 -1.5520629892125726 88.0
000000000000000000000000000111111000101011111101100101111110001011111111000111000100000000000000000000000000000000000000000000000001111110011011111111011101000000000000000000000000000000000000000 -1.3033453980460763 56.0
100000000100000000000000000111111000101111111111111111111111111111111111111111101110010111110000000000001000000000000000000000000011111111111111111111111111000000000001010000000001100000000000000 -1.5594347892329097 90.0
000000000000000000000000000111111000101011111101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111110001010111111011101000000000000000000000000000000000000000 -1.2464568987488747 51.0
000000000000000000000000000111111000101011111101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111110011010111111011101000000000000000000000000000000000000000 -1.2583365989848971 52.0
110000001100000000000000000111111000101111111111111111111111111111111111111111101110010111110110001010001100000001001000000010000011111111111111111111111111001100000001111110000001110000000000000 -1.6124259904026985 107.0
000000000000000000000000000111111000101011110000000100111000000011111100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.0357831958681345 35.0
000000000000000000000000000111111000101011110000000101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.0963674951344728 39.0
000000000000000000000000000111111000101011111101100101111000000011111111000111000100000000000000000000000000000000000000000000000001111010001010111111011101000000000000000000000000000000000000000 -1.2345771985128522 50.0
100000000100000000000000000111111000101111111111111111111111111111111111111111101110010111110100001010001100000001001000000010000011111111111111111111111111001100000001011000000101110000000000000 -1.59800309012644 102.0
100000000100000000000000000111111000101111111111111111111111111111111111111111101110010111110000001011001000000001000000000000000011111111111111111111111111000100000001010000000101100000000000000 -1.5791998896747828 96.0
000000000000000000000000000111111000101011110100000101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111111011101000000000000000000000000000000000000000 -1.1726676970720291 45.0
000000000000000000000000000111111000101011110000000101111000000011111100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.052651796489954 36.0
000000000000000000000000000111111000101011110000000101111000000011111101000111000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.0817955955863 38.0
000000000000000000000000000111111000101011110001100101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111111010001000000000000000000000000000000000000000 -1.159950996749103 44.0
