# Problem = Knapsack
# Variables = 1
# Objectives = 2
000000000000000000000000000101011000101111110010011111111001110111111100111011101110010111100000000000000000000000000000000000000011111001100111111100100011000000000000000000000000000000000000000 -2.0576938055455685 61.0
000000000000000000000000000101011000101100100010011111111001110111001000111011101110010111100000000000000000000000000000000000000011010001100111101000100011000000000000000000000000000000000000000 -1.8653858080506325 51.0
000000000000000000000000000100011000100100100000011110011000000111001000000011101110000000100000000000000000000000000000000000000010010000000011001000000001000000000000000000000000000000000000000 -1.3653850220143795 29.0
000000000000000000000000000101011000101111110010011111011001110111101100111011101110010111100000000000000000000000000000000000000010111001100111111100100011000000000000000000000000000000000000000 -2.0000014062970877 58.0
000000000000000000000000000101011000101111100010011111111001110111011100111011101110010111100000000000000000000000000000000000000010111001100111101100100011000000000000000000000000000000000000000 -1.980770606547594 57.0
000000000000000000000000000100011000100100100010011110011001110111001000111011101110000111100000000000000000000000000000000000000010010001100111001000100011000000000000000000000000000000000000000 -1.7259625103324652 44.0
111110000000000000000000000101011000101111110010011111111001110111111100111011111110010111111111000000001111100000001000000000000011111001100111111100100011111110000001111111000001110000000000000 -2.365386601537466 93.0
000000000000000000000000000101011000101111110010011111111001110111111100111011101110010111100000000000000000000000000000000000000010111001100111011100100011000000000000000000000000000000000000000 -2.0192322060465813 59.0
111110000000100000000000001101011000101111110010011111111001110111111100111011111110010111111101000000001111100000001000000000000011111001100111111100100011111110000001111111000001110000000000000 -2.375002001412213 94.0
111110000000100000000000001101011000101111110010011111111001110111111100111011111110010111111111000000011111100000001010000000000011111001100111111100100011111110000001111111000001110000000000000 -2.400643100962043 97.0
000000000000000000000000000101011000100100110010011111011001110111111100111011101110010111100000000000000000000000000000000000000010111001100111001100100011000000000000000000000000000000000000000 -1.9230782072991133 54.0
000000000000000000000000000100011000100000100000001100010000000011001000000011000100000000000000000000000000000000000000000000000010010000000011001000000001000000000000000000000000000000000000000 -1.0769231170415878 20.0
000000000000000000000000000100011000100100100000011110011000010111001000000011101110000000100000000000000000000000000000000000000010010000000011001000000001000000000000000000000000000000000000000 -1.3894235212355852 30.0
111110000000100000000000001101011000101111110010011111111001110111111100111011111110010111111111000000001111100000001000000000000011111001100111111100100011111110000001111111000001110000000000000 -2.3846174012869596 95.0
000000000000000000000000000100011000100100100010011110011001110111001000111011101110010111100000000000000000000000000000000000000010010001100011001000000011000000000000000000000000000000000000000 -1.7019240111112595 43.0
111110000000111110000000001101011000101111110010011111111001110111111100111011111110010111111111000000011111100000001110000000000111111001100111111100100011111110000001111111000001110001000000000 -2.4455151995643973 104.0
000000000000000000000000000100011000100000100000001100010000000011001000000011000100000000000000000000000000000000000000000000000000010000000011001000000001000000000000000000000000000000000000000 -1.0480769164860249 19.0
000000000000000000000000000100011000100100100000011100011000000011001000000011000100000000100000000000000000000000000000000000000000010000000011001000000001000000000000000000000000000000000000000 -1.1923078186810017 23.0
000000000000000000000000000100011000100100100010011110111001110111011000111011101110010111100000000000000000000000000000000000000010011001100111001000100011000000000000000000000000000000000000000 -1.8076934088021517 48.0
000000000000000000000000000100011000100100100000001100011000000111001000000011101100000000100000000000000000000000000000000000000010010000000011001000000001000000000000000000000000000000000000000 -1.2788464203476906 26.0
000000000000000000000000000100011000100100100010011110011001100111001000011011101110000111100000000000000000000000000000000000000010010001100111001000000011000000000000000000000000000000000000000 -1.653847012668848 41.0
111110000000100010000000001101011000101111110010011111111001110111111100111011111110010111111111000000011111100000001110000000000011111001100111111100100011111110000001111111000001110001000000000 -2.419874000363052 100.0
111110000000111100000000001101011000101111110010011111111001110111111100111011111110010111111111000000011111100000001010000000000111111001100111111100100011111110000001111111000001110000000000000 -2.4262843001633883 101.0
000000000000000000000000000100011000100100100010011110011001110111001000111011101110010111100000000000000000000000000000000000000010010001100111001000100011000000000000000000000000000000000000000 -1.7500010095536709 45.0
000000000000000000000000000100011000100100100000001100011000000011001000000011000100000000100000000000000000000000000000000000000000010000000011001000000001000000000000000000000000000000000000000 -1.1634616181254387 22.0
110110000000100000000000000101011000101111110010011111111001110111111100111011111110010111110101000000001111100000001000000000000011111001100111111100100011111110000001111111000001110000000000000 -2.3461558017879725 91.0
111110000000100000000000000101011000101111110010011111111001110111111100111011111110010111111011000000001111100000001000000000000011111001100111111100100011111010000001111111000001110000000000000 -2.3557712016627192 92.0
000000000000000000000000000101011000101111110010011111111001110111111100111011101110010111100000000000000000000000000000000000000011111001100111111100100011000010000000000000000000000000000000000 -2.0673092054203153 62.0
111110000000111110000000001101011000101111110010011111111001111111111100111011111110010111111111000000011111100000001110000000000111111001100111111100100011111110000001111111000001110001100000000 -2.4519254993647337 106.0
000000000000000000000000000100011000100100100000011110011000000111001000001011101110000000100000000000000000000000000000000000000010010000100011001000000001000000000000000000000000000000000000000 -1.413462020456791 31.0
000000000000000000000000000100011000101111110010011110111001110111101000111011101110010111100000000000000000000000000000000000000010011001100111111100100011000000000000000000000000000000000000000 -1.9423090070486069 55.0
000000000000000000000000000101011000100111110010011111111001110111111100111011101110010111100000000000000000000000000000000000000011111001100111111100100011000000000000000000000000000000000000000 -2.038463005796075 60.0
000000000000000000000000000100011000100100100000001100011000000011001000000011000100000000000000000000000000000000000000000000000000010000000011001000000001000000000000000000000000000000000000000 -1.1346154175698757 21.0
000000000000000000000000000101011000101111110010011111111001110111111100111011101110010111100000000000000110000000000000000000000011111001100111111100100011000000000000000011000001000000000000000 -2.1057708049193025 66.0
000000000000000000000000000101011000101111110010011111111001110111111100111011101110010111100000000000000001000000000000000000000011111001100111111100100011000000000000010000000000000000000000000 -2.076924605295062 63.0
000000000000000000000000000101011000100110110010011111011001110111111100111011101110010111100000000000000000000000000000000000000010111001100111101100100011000000000000000000000000000000000000000 -1.9615398067981005 56.0
011010000000100000000000001101011000101111110010011111111001110111111100111011111110010111110010000000010110100000001000000000000011111001100111111100100011101100000001101110000001100000000000000 -2.278848002664745 84.0
000000000000000000000000000100011000100100100000011110011000000111001000000011101100000000100000000000000000000000000000000000000010010000000011001000000001000000000000000000000000000000000000000 -1.3365388214588165 28.0
000000000000000000000000000100011000100100100010011110011001010111001000100011101110010011100000000000000000000000000000000000000010010001000111001000100011000000000000000000000000000000000000000 -1.6298085134476423 40.0
111110000000111110000000001101011000101111110010011111111001110111111100111011111110010111111111000000011111100000001010000000000111111001100111111100100011111110001001111111000001110000000000000 -2.437502299901098 103.0
001110000000100000000000000101011000101111110010011111111001110111111100111011111110010111111011000000010111100000001000000000000011111001100111111100100011101010000000111001000001110000000000000 -2.2980788024142385 86.0
000000000000000000000000000100011000100100100010011110011000010111001000001011101110000000100000000000000000000000000000000000000010010000000111001000000001000000000000000000000000000000000000000 -1.4615390188992023 33.0
000000000000000000000000000101011000100100110010011110111001110111011000111011101110010111100000000000000000000000000000000000000010011001100111001000100011000000000000000000000000000000000000000 -1.8461550083011389 50.0
000000000000000000000000000100011000100100100000001110011000000011001000000011100110000000000000000000000000000000000000000000000010010000000011001000000001000000000000000000000000000000000000000 -1.2500002197921276 25.0
111110000000100000000000001101011000101111110010011111111001110111111100111011111110010111111111000000011111100000001011000000000011111001100111111100100011111110000001111111000001110000000000000 -2.407053400762379 98.0
000000000000000000000000000100011000100100100000011110011001010111001000110011101110000001100000000000000000000000000000000000000010010000000111001000100011000000000000000000000000000000000000000 -1.5576930157840252 37.0
000000000000000000000000000100011000100100100000001100011000000111001000000011001100000000100000000000000000000000000000000000000000010000000011001000000001000000000000000000000000000000000000000 -1.2211540192365646 24.0
000000000000000000000000000100011000100100100010011110011001100111001000011011101110000111100000000000000000000000000000000000000010010001100111001000100011000000000000000000000000000000000000000 -1.6778855118900537 42.0
000010000000000000000000000101011000101111110010011111111001110111111100111011101110010111110000000000000000000000000000000000000011111001100111111100100011000000000000000100000000000000000000000 -2.086540005169809 64.0
000000000000000000000000000100011000100100100010011110011001010111001000100011101110010101100000000000000000000000000000000000000010010000100111001000000011000000000000000000000000000000000000000 -1.6057700142264366 39.0
000000000000000000000000000100011000100100100000011110011001000111001000000011101110000010100000000000000000000000000000000000000010010000000011001000000011000000000000000000000000000000000000000 -1.4375005196779966 32.0
000000000000000000000000000101011000100100110010011111011001110111001000111011101110010111100000000000000000000000000000000000000010011001100111001000100011000000000000000000000000000000000000000 -1.8269242085516453 49.0
000000000000000000000000000101011000101110100010011110111001110111011100111011101110010111100000000000000000000000000000000000000010010001100111111000100011000000000000000000000000000000000000000 -1.9038474075496197 53.0
000010000000000000000000000101011000101111110010011111111001110111111100111011111110010111100101000000001000000000001000000000000011111001100111111100100011010100000000000101000000000000000000000 -2.1538478042930365 71.0
000110000000000000000000000101011000101111110010011111111001110111111100111011101110010111110100000000011110100000000000000000000011111001100111111100100011000000000001000101000001000000000000000 -2.182694003917277 74.0
110010000000100000000000000101011000101111110010011111111001110111111100111011101110010111110000000000000000000000000000000000000011111001100111111100100011000100000000000000000000000000000000000 -2.1153862047940493 67.0
000000000000000000000000000100011000100100100010011110011001000111001000100011101110000000100000000000000000000000000000000000000010010000000011001000100011000000000000000000000000000000000000000 -1.485577518120408 34.0
111110000000111110000000001101011000101111110010011111111001110111111100111011111110010111111111001000011111100000001010000000000111111001100111111100100011111110001001111111000001110001000000000 -2.4487202996388078 105.0
000000000000000000000000000100011000100100100010011110011001000111001000000011101110000101100000000000000000000000000000000000000010010001100011001000000001000000000000000000000000000000000000000 -1.5096160173416138 35.0
111110000000100000000000001101011000101111110010011111111001110111111100111011111110010111111011000000011010100000001000000000000011111001100111111100100011010110000000110111000001110000000000000 -2.326925002038479 89.0
000000000000000000000000000100011000100100100010011110011001100111001000000011101110010001100000000000000000000000000000000000000010010001000011001000100001000000000000000000000000000000000000000 -1.5336545165628195 36.0
111110000000111100000000001101011000101111110010011111111001110111111100111011111110010111111111000000011111100000001110000000000111111001100111111100100011111110000001111111000001110000000000000 -2.4326945999637246 102.0
100100000000000000000000000101011000101111110010011111111001110111111100111011111110010111111100000000001001000000000000000000000011111001100111111100100011101110000000111111000001010000000000000 -2.2500018030405045 81.0
100100000000000000000000000101011000101111110010011111111001110111111100111011101110010111111000000000001011100000000000000000000011111001100111111100100011111000000001110111000000110000000000000 -2.2403864031657577 80.0
