# Problem = Knapsack
# Variables = 1
# Objectives = 2
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0 0.0
001000110111001000101010101011011100100010110010011100100111011010011011000001101011101000000011111111000011010111111101001000101101110100010010011010111111010010010011010101111001000011011110111 -0.18589790386613458 102.0
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.00512820016592741 1.0
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.01025640033185482 2.0
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010010000000000000000000000000000 -0.01538460049778223 3.0
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000 -0.02051280066370964 4.0
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000001000010000000000000000000000000000000000000000000000000000000000010000000000000000000 -0.02564100082963705 5.0
000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000001000000000000000000000000000000000000000000000000000100000000000010000000000000000000 -0.03076920099556446 6.0
000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000100000000000001000000000000000000 -0.03589740116149187 7.0
000000110001000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000010010000000000000000000000000000000000000000000000100000000000001000000000000000000 -0.04615380149334669 9.0
000000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000010010000000000000000000000000000000000000000000000000110010000000001000000000000000000 -0.05641020182520151 11.0
000000011011000000100000000000000000000000000000000000000000000000000000000000000000000000000000111110000000001000010000000000000000000000000000000000000000000000101000000000010000000000000000000 -0.07564100227318704 15.0
000000011011000000100010000000000000000000100010000000000000000000000000000000000000000000010000111100100000001000011000000000000010000000000000000000000000000000101100000000100110000000000000000 -0.10000000288709998 24.0
#
