# Problem = Knapsack
# Variables = 1
# Objectives = 2
000000000000000000000000000100000000000000110000000100011000000010000000000001000000000000000000000000000000000000000000000000000000010000000010001000000001000000000000000000000000000000000000000 -0.7037323080003262 12.0
111110000001100000000001101111111000101111111111111111111111111111111111111111111110010111110011001000011111100000001011110000000011111111111111111111111111111110001001110111000001010000100000001 -2.4530943227000535 124.0
000000000000000000000000000100000000000001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001000000001000000000000000000000000000000000000000 -0.7888470105826855 14.0
000000000000000000000000000100000000000001110000000100011000000010000000000001000000000000000000000000000000000000000000000000000000010000000010001000000001000000000000000000000000000000000000000 -0.7452685087919235 13.0
000000000000000000000000000100000000000001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.8307028114795685 15.0
000000000000000000000000000100001000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.9132112115621567 17.0
000000000000000000000000000100001000000001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.8719570115208626 16.0
000000000000000000000000000100001000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010011100000001000000000000000000000000000000000000000 -0.954747412353754 18.0
000000000000000000000000000100001000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000011000000010011100000001000000000000000000000000000000000000000 -0.994862012565136 19.0
000000000000000000000000000100011000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000110000000010011100000001000000000000000000000000000000000000000 -1.035887710750103 20.0
000000000000000000000000000100011000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.076002310961485 21.0
000000000000000000000000000100011000100001110000000100111000000010001000000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.1132376119494438 22.0
000000000000000000000000000101011000100001110000000100111000000010001000000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.1495601125061512 23.0
000000000000000000000000000101011000101001110000000100111000000010001000000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.1858826130628586 24.0
000000000000000000000000000101011000101001110000000100111000000010001100000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.222085814923048 25.0
000000000000000000000000000101011000101001110000000100111000000010011100000001000000000000000000000000000000000000000000000000000000111000000010011100000001000000000000000000000000000000000000000 -1.2577306143939495 26.0
000000000000000000000000000101011000101001110000000100111000000010011100000001000000000000000000000000000000000000000000000000000001111000000010011100000001000000000000000000000000000000000000000 -1.2919610142707825 27.0
000000000000000000000000000101011000101001110000000100111000000010011100000001000000000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.3261052146553993 28.0
000000000000000000000000000101011000101011110000000100111000000010011100000001000000000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.3602494150400162 29.0
000000000000000000000000000101011000101011110000000100111000000010011100000001000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.3939032144844532 30.0
000000000000000000000000000101011000101011110000000100111000000011011100000001000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.4275570139288902 31.0
000000000000000000000000000101011000101011110000000100111000000011011100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.4612108133733273 32.0
000000000000000000000000000111011000101011110000000100111000000011011100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.4900028128176928 33.0
000000000000000000000000000111011000101011110000000100111000000011111100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.5164449121803045 34.0
000000000000000000000000000111111000101011110000000100111000000011111100000011000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.5421360116451979 35.0
000000000000000000000000000111111000101011110000000101111000000011111100000111000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.5892968121916056 37.0
000000000000000000000000000111111000101011110000000100111000000011111100000111000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.563993912190199 36.0
110110000000100110001000001111111000101111111111111111111111111111111111111111111110010111110010001000011111100000001011010000000011111111111111111111111111101110000001110111000101000000100000001 -2.4394724229350686 119.0
110010000000100001000000011111111000101111111111111111111111111111111111111111111110010111110010001000011111100000001010000000000011111111111111111111111111101110000001110111000001110000100000001 -2.4330623229034245 116.0
000000000000000000000000000111111000101011110001000101111000000011111111000111000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.652087613940239 40.0
000000000000000000000000000111111000101011110000000101111000000011111101000111000100000000000000000000000000000000000000000000000001111000000010111100000001000000000000000000000000000000000000000 -1.6111547127366066 38.0
000000000000000000000000000111111000101011110000000101111000000011111101000111000100000000000000000000000000000000000000000000000001111000000010111100010001000000000000000000000000000000000000000 -1.630229713395238 39.0
