# Problem = Knapsack
# Variables = 1
# Objectives = 2
000000000000000000000000000100000000000000100000000100010010000010000000000001000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000 -0.5186387095600367 9.0
111110010000100111100100011111111000101111111111111111111111111111111111111111111110010111110101000011000111100100001010000001000011111111111111111111111111101111010010011111001000110111100000010 -2.4611067227087915 130.0
000000000000000000000000000100000000000000100000000100011000000010000000000001000000000000000000000000000000000000000000000000000000000000000010001000000001000000000000000000000000000000000000000 -0.6113975085318089 10.0
000000000000000000000000000100000000000000100000000100011000000010000000000001000000000000000000000000000000000000000000000000000000010000000010001000000001000000000000000000000000000000000000000 -0.6618765071034431 11.0
000000000000000000000000000100000000100001100000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001000000001000000000000000000000000000000000000000 -0.7882454097270966 14.0
000000000000000000000000000100000000000000110000000100011000000010000000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.7455881088972092 13.0
000000000000000000000000000100000000000000110000000100011000000010000000000001000000000000000000000000000000000000000000000000000000010000000010001000000001000000000000000000000000000000000000000 -0.7037323080003262 12.0
000000000000000000000000000100000000000001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.8307028114795685 15.0
000000000000000000000000000100001000100000110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000110000000010011100000001000000000000000000000000000000000000000 -0.9530973099172115 18.0
000000000000000000000000000100011000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010011100000001000000000000000000000000000000000000000 -0.9960016123950481 19.0
000000000000000000000000000100000000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.8719570115208626 16.0
000000000000000000000000000100001000100001110000000100011000000010001000000001000000000000000000000000000000000000000000000000000000010000000010001100000001000000000000000000000000000000000000000 -0.9132112115621567 17.0
