# Problem = Knapsack
# Variables = 1
# Objectives = 2
10001001001001001101011011101110101011001000001100111010011101101010001110100110001110011111010011100001011011010000000110110001000011010011100101000110110111000110010111100101011110111111011101111100010111111011001011111001111100110000110001010011011110110111101010010100000101100100110011101110110110100000000111101010111011100101100011100000001101111010110111001001000000111000101010001111100001100101100100111111010010101101110000110011000101101011110111100011101111011110000001010001010000111100010111011010111011011111110010111111101001111011011000111111100101100011001010010010000110111010011101111001111101000010011001101000011001000101101101111100101101000000111100000101000000111011010011010000100110010111100111100000011101110100010101001111100100100001011110011001101010010100111100100101111000011101110101100011010110100000010100010010010101001001100101111110111100011111101011100010001110000000111011000010110011000111111110000111101011100100000110110110101000010001010100110011001000001110001111001000111011001011101000000111000100001101011011000110010110111110001100110000010000000111011010011010000000001010111100110101110111000100000110010001000010110101000111111011101100000001111111101101101100001101010111111111100110101101110111001001111110110101010000000001010111000010110001010111001011001111100000010010100001000000010010011011010110011000001100001000001101001110101001001001101011001001101001010101100011111101101101110101110101100101000011110010111111010000000000010111010010101010010111011010000111001100010110010101001000000100011011111010010010101110101110000011101100011011000110111110110000111101110011100101100111011110100111010110110000010110011101110111100100110011011000001001111000111000000100010100011010100010001100011000110101010010110001010110000111000110010010000010101010101101000100100111100001010011010001011100010101001101000111011111000011111110000010110110110010100010000110001100111111011010000011010011000010100100100001010010111100000110010010010010001001010001111001100111101101000100011100111000010111010000111000110010001011010100001001011101000111100110110010010110100110000111110001001100100110011111100000101110000110110000010100111100110000110100100111001111100001110010110011001101011101010001001010010101010011111001010100111101000000110111001011001100000101001001100011011011011010000111001011100001010010001000010111111100010010001100010101101010000000011001000110101110001111110010101010001000100100111001010010010101011001110010011110010100000101101110010101000000000111110001111111101010000000111110000110111000000011001010101011011011001000101001010111110001000110001101100111110110110010000111111011011111101000011000110110100010001111010100111001110000001110111110111001000100001001011001011010111101000100 -2.0770653795916587 1368.0
00000100000000000000000000000000000000000010000000000000100011000010000000000100000001000001000001001000000000000000000000000000000000000000000000010000000110000000110000000000000000000000000000000000000001000000000000000000000000000000000100000010000000000100000000000000000000001000000000000000110000000000000011010000000000000100000000001000000000100000000000000001100000000010000010000000011000000000000000000000010000001000000100010000000000000000000000100001000001000000010100100000001000000000000010000000001100000000000000000000000000010000000000000000000000000010000010000010000000001010000000100000000000000000000000000100000000010000000000000001100000100000000000000000000010000000001000100000000110000100000000000000100000000000000000000000000000001000101000000000000001010000000000000000000000000000001000001000000000000000000000000000000000000000000000000100100000000000000000000010010100100000000000000000100000000000000000000000010000100010000000000000000100000000000010000000000000100010000000000000000000001000000000000000000000000000000010100000001000000100000000000000000000000000000000000001000001000010000000010000100100000000000010000000010000000000000011000000000000000000000000000000000010000000000000000000000000000000100000000000001000010000000000000001000100000000000000000000000000000001000000000000000000000000000000000000010000000001100000000000000000100000000011001100000001000000001000000000100000000000000000010100100000000001000000000000000000100000000000001000000000000000100000000010100000000000001000000001000000000000010001000100000000100000000000000000000000001000100000100000000000010000000000000000010100000000000000000001000000010000100000101001000000000000001010000001000000000000000000000000001000100001000000000000010000100000000000000100000000000000000100000000000010001001000001000000000100010000000000000001000101000000000000001100000000000000000000100000000000001000010000000001000000010000000010000000000100001000010100000000000000000000000000000010010000000000000000000000000000101000000001010000000000000000000001000000000000010000000000000000000000000000110000010000000100000110000000000000101000000000000100000000101000000000000000001001001000000000000000000100000000001000000000000000000000000000000000000000111000000000000000000000000000000000000000000000000010000010000001000001000000100000000000000000001000000000000000001000100100000010000000000000000000000010000010000000000000000000000000000110000000000100000000000000000000000000000000010100000000000000000000000010000000100000000000000000000010100001000001000000000001000010000001100001010000000000000000000000000000000000000011000010010000000000000010010000100001010000000010000000000000000000000000011001000000000000000100000000000100100010000000000000000000 -0.3955500958254561 253.0
00100110100000000100000001000000000000000000000000000000000001100000010000100001000101000000000001010000000000000010000000000010000001000000001000000000000000000000000001010010000000000000001000000000000000000001000010000000000000000010000001000010011010001000000000000101000010000000000000000000000000000000000000010000000000000001000000000001000010000000000001000000000000000000000000010000000000000000000000000000000000001001100000000000000000000010000000010000000000000000010000000000001000000000000000000100000000000000000000000100000000000000000000000000000000000000001001001110000000010010000001010000000000010000000001010100000100000000000000000000000000000000000000000000000000000000000000000000000000001100000010000000000000000000001000000000100000001010000000000000000000000000000000000000000100000000001000000000000110000000010000000000000000000000000000000000000000000100000000000000000001000000000000000000000001000000000000000000000000000000100001000000010000000000000000001000010000010100000000000010000110000000000000000000001000100000000000110000000000000010000010000000000001000000000101000000000010000000000000000000000000000001000010000000000001000000100100000000100000000000000000000100000001000000000000000000100000000000000000000000001000000000000000000000000010000010001001000100000000000000000100000000010100000010010000000000000000000001000000000000000000000000001000000011000000000000000000000000000000000010000000000100000000000000000000000000000000000000000010000100000000000000100001000010000010010000010000010101000000010000100000100010000000000000000000011010000000000010000000001000000000010000010000000000000000100000000000000000000000000000000100001001001000000000000000000000010010000000001010000000000000000000010000000000000000100000000000100000000000100000000000000001000000000000000000000000100100000000000000000000001000000001110000000110000000100000001000000000000000000000000000000101000000000000001010100100000000101000000000000000000000000000000000000010000000100000000000000000000001100001010000000000000000000001000000000000011000000000000010000000010010000000010000000000000000000000000000001000000000010000000100000000000000000001001000000000000000000000000001000000000000000000000000000000010100000000100000010000011000000000010000000000010011010000000000000000000110000000000001000000000000100000001000000000000000000000000000010000100011000000100000010000000000000000000000000000000000000000000000000000000000000000000000000001000100000000010000010001000010000100000000000000000000100001000010000000001000000001000000100000000000000000000001100100000000010000000000000000000000000010000010000000010000010000000001010000000000000010000101100000000000000000000000000000000100000000000000000100000000000000000010000000000000 -0.357878795475699 250.0
00100100000000000100000001000000000000000000000000000000000001100000010000100001000001000000000001010000000000000010000000000000000001000000001000000001000000000000000000010010000000000000001000000000000000000001000000000000000000000010000001000010011010001000000000000001000010000000000000000000000000000000000000010000000000000101000000000001000010000100000001000100000000000000010000000000000000000000000000000000000000001001100000000000000000000010000000000000000000000000010001000000001000000000000000000100000000000000000000000100000000000000000000000000000000000000001000000000000000010010000001010000000000000000100001010100000100000000000001000000010000000000000000000000000000000000001000000000000000001100000010000000000000000000000000000000100000001010000000000000000000000000000000000000000100000000000000000000000110000010010000000000000000000000000000000000000000000100000000000000000001000000000000000000000001000000000000000000000000000000100001000000000000000000000000000000000000110100000000000010000100000000000000000000001000100000000000110000000001000010000010000000000000000000000000000000000010000000000000000000000000000001000010000000000001000000100100000000100100000000000000100100000001000000000000000000000000000000010001000000001000000000000000000000000010000010001000000100000000000000000100000000010100000010000000000000000000000000000000000000000000010000001000000010000000000000000000000000000000000000000000000100010000000000000000000000000000000000000010000100000010000000100001000010000010010000010000010101000000010000000000100000000000000000000000010010000000000010000000000000000000010000010000000000000000000000000000000000000000000000010100001001001000100000000000000000010010000000001010000000000000000000010000010000000000100000000000100000000001100000000000000001000000000000000100000000100100000000000000000000001000000001010000000110000000100000001000000000000010000000000000000001000000000000001000100101000000101000000000000000001000000000000000000010000000100000000000000000000001100001000000100000000000000000000000000000011000000000000010000000000000100001000000000000000000000000000000001000000000010000000100000000000000000001001000000000100000000000000001000000000000000000000000000000010000000000100000010000010000000100000000000000010011010000000000000000000010000000000001000000000000110000000000000000000000000000000000010000100011000000100000010000000000000000000100000100000000000000000000000000000000000000100000010001000100000000010000010001000010000100000000000000000000100001000010000000001000000001000000000000000000000000000001100100000000010000000000000000000000000010000010000000010000010000000001010000000000000010100001100000000011000000000000000000000001000000000000000100000000000000000010000000000000 -0.3493168961722404 242.0
00000000000000010100000001000000000010000000000000000000000100100010000000000010000000000000000001001000000000000000000100000000000001000000100110000000000000000000100000000000000000100000000000000000000000000000000000100001000000000000000000000000000000000000000110000000000000100000001001000000110000000000000000000000100001000000000000000000000000100000000001000000000000010010000000010000000000000000000000000000001000000000000000000000000000000100001000000000000001000000000000000000000000000010000000000001000100011000000000000000000000000000110000000000000000001000000010000000000000011001000100001000010000000000100001010000001000000000000000000100000100000000000001100001100001000100000000000000000000000000000100000010100000000000000000001000101000000010001010000000001000100000000000000000000010000100000000000001000110000010000000000000000000001000000000000000000010100000000000000000010000000000000100000000100100000000000000000000000000000000110000000010010000001000000010000010000000011000000000001000000100000000001000010000000000100000000000000100000000000110000000000000000000000000000000000000000000000011000000000000001000000000000000100010000100000000000100000000000000010000000000000000000000100001100100000000000000000000100000000000000000000000001000000001000010000100000000000000000000001000000000100000100000000000000100010100000000000000000010000000000000010001010000000100000000000000000000000010100000100011000000000000001000000000000000000010000100000000000000100000000010000000010000000010100010000000000000100000000001000000001000000001000000000000000000000010000000000000000000011010001000000000000010000000100001000000000000000000000000000100000000100000101000100000000000000000000000000010000000000000000000000000010000010000000000000000001000100001000000100001000000010000000001001000000000000000000000000000000000001000000000000001000000000000000110000000000000000000100000000000010000000001011000000100000000000000000000000000000010100000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000101000000010000010000010010010000000000100000000001000100000100000000000000001000000000000000000000000000010100000110000000000000000100000000000001000000000000000000000010000000000000000000000000000000100000000001010000000001010000000010000100000000000000000000000000000000000000000000000000000000000000000000001000001000100000000000000011000000000101000100000000000000000000000000001000000000000010100000000001001001001100000000000010000000000000000000000000000000100000000001000000000000000000000001000000100000000010000000000001100000000100000001010000000000010000010000000101000000010000000000000000000000000000000010000000100000000010000100000000000001000000000000000100000100000000000000000000000000000000 -0.40239929605741054 254.0
00000000010000100000000000000000001000100000000000000000000000000000010000000001000000000000010000010010000010000000000000000000010000000000000000001000000100000000010000000000001000001000000000000010110100000000000000000000000000010010000000000000000010000000000000000011000000000000000000000000000000000000010000000000100001100001000000000000000001000000000000010000000000000001000000000001000000001010000010001000000000001000000000000000000010000000000000000011000001000000000100001000000000000001000000010000000100000010000000000000000001000000000000000000000000011000001000000000000100011101010000000000000000010100110000010000000000000000000000010000001100100010000000000010000000000100001000001000000100001000000000000000000000000000000000000001001000000000000000001000000000010000000000000000000100100000000000001010000100010000000000000000001000000000000000000000000010000000000000000110010000001010000000000000000000000000000000000010010000000000000000000000000000011000000000000100000000011100000000000001010010000100000000000000100000100000100000000000000000000100000010000000000000000000000000000001000000000000000000010000101000000000100000000000000000000000000001000000000000000001000000000000000010000000000000010000000000110000000000010010000000000000000000000000000000000110000000001000000000000000001000100000000000100000000100000000000000000000000000000000000000100000010010000100000000000000001000000000000000000000000000000000000000000001000000000000100000000000000000010000001000000010000010000000000000000000001100000001000100010001000100000100000000000000000000001000001000000000000000000000000000000000010000000001010000000000000000000010000100000010000000000000001000000001000000100000000000000000000000001000000000000000000000001000000000000000000001000100001000000010000110000100000000000010000000000000000100000000000000000000000000000001000000000000000001000000010000000000000010000010010000000000000000010000000001000000000000000000000100001000000000000000000000001110000000010000000001001000100010000000000000001000000000000000000000000000010000000000000000000000000000000001000001000000000010100000000000001000000000000000000000000000000000000111000000000000001000000000000001100100000001100100000000000000000000000001000000010000001000000100011000010000000001000000011010000101010001000000000000000000001000000100000000000000000000010000000000000000100000000000000000010000000100000000000000000000010000010100000000000100000000000100000000010000000000000010000100011000000000000000000000000010000000000000100100000000000000000000000000000000000000010000000001010101000110000000010100000000000000001000000000001000010000000010000000001000000000000001000001000000000000000000000000000000000000000100000000000000000000000000000000000001000000 -0.464043794432655 257.0
00000010000000000000000000000000001000100000000000000000000001000000010000000000000000000000010000010010010010000010100000000001010000000000001000001000000000100001010000000000001000001000000000000010100000000000000000000000000000010010000000000000000100000000000001000010000000000000000000000000000001000000110010000000100001000001000000000000000000000000000000000000000000000000000000000001010000001000000000000000000000001000000000000000000010100000000001000011000001001000000100001000000000000001000000000000000000010010000000000000000000000000000000000001000000001000001001000000000100011101010000010000000000010000110000010000000001000000000000000100001000000001000100000000000000000100001000001000000000000000000000000000100000000000000000011001101000000000000010001000000000010010000000000000000100000010000000001000000110110000000010000000001000000000000000000010000000000000000000000100010000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000100000000001100000000000001000010000000000000000000000000100000100000000000000000000100000000000000000000000000000000000001000100000000000000010000001000000000000000010000000000000100000000000000000000000000001000001000000010000000000000000000000000000000001001000000000000000000000000001010000000100110000000001010000000000000000000000000000000000011000100000000000000000000010000000000000000100000011110000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000010000000010000000000000000000001000100110000000000000100000000000000000000001000001000000000000000000000010000010000010000000001010000000000000000000010000100000010000000000000001000000001000000000000000000000000000010001000000000000000010000001000000100000000000100000000001000000010000000000100000000000001000000000000000100000000000000100000000000000001010000000000000011000000010000001000000010000000000000000000000000001000000000101000000010000000000100001000000000000000000000000110000000010000000001000010000000000001000000000000000000000000000010000000010000000000010000000000000000000000100001100000000010010000000000000000000000000000000000000100000000000011000000000000101000000000000001100000000001000100000010000000000000000000000000000000001000000100010000000000000001000000001010000001010101000000000000000000000010000000000000000000100000010000000000000000100000000000100100000000000100010000100010000000010010000000000000000100000000100100000000110000001000000010000100001001010000000000000000000000000000100000100000000000000000000000000001000001000000010010000000110100000110000000010100000000010000000000000000001000001000000000000000010000000001000001000000000000000000000000000000000000000000010100000000000000000000000000000000000001000000 -0.4965781942009926 259.0
00000010010000000000000000000000001000100000000000000000100001000000010000000000001000001000010000010000010010000010100000001000010000000000001000001000000000100000010000000000001000001000000000000010100000000000100000000000000000010010000000000000000100000000000001000010001000111000000000000000000000000000110010000000100001000001000000000000000000000000000000000000000000100000000000000001000000001000000000001000000000001000000000000000000000100000000000100011000001001000000100001000000100000001000000000000000000010000000000000000000000000000000000000001000000001000000101000000000100011001010000000000000100010100110000000000000001000000000000000100001000000001000100001000010000000000001000001000000000000000000000000000100000000000000000000001100000000000001010001000000000010010000000000000000100000010000000001010000111110000000010000000001000000000000000000010100000000000000000000100010000001000000000001000000000000000000000000010000000000000000000000000000000010000000000000100000000110100000001000000010010010000000001000000000000100000100000000000000000001000000000000000000000000000100000000001100100000000000000000000001000000000100000000000000000000100000011000000000000000000000000001000000010000000000001000000000000000000000001000000000000000000001000000010000000100100000000000000000000000000000010000000000000000011000100000000000000000000100000000100000100100000011110000000000010000000000000000001000000000000000000000000000000000000000100000000100000000000000100000000000000000000000000000000000000000000001000000001000100010000000000000100001000000000000000001100001000000000000000000000010001010000000000010001000000000000000000000010000000000010000000000000001000000001000001000000000000000000000010001000000000000000010000001000000100000000000100000000001000000010000000000100000000100000000000000000000000100000000000000000000000000001010000000000000011000010010000000000000010000000000000000000000000001000000000101100000010000000000100001000000010000000000000000110000000010000000001000010000000000001000000000000000000000000000000000000010000000000010000000000000000000000000001100000000110001001000000000000000000000000000000000000000000000011000000000000101000000000000000000001000001100100000010000000000000000000000000000000001000000100011000010000000001001100001010000001010001000000000000000000000010000000000000000000100000010000000100000000000000000000100000000000000100010000100000000000010010000000000000000100000000100100000000100000001000000010000100001000000000000000000000000000000000100000000000000000000000000000000000000001000000010010000010110100000110000000000100000000010000000000000000001000001000000000000000010000000000000001000000000000000000100000000000000000000001000100000000000000000000000000000000000001000000 -0.5068521942012012 272.0
00000010000000010000100000000000001000100000000000010000100000000000010000000001000000000000010000010000000010000010000000000000000000100000000000101000001000001000000000110000001101000000000000001000010000001100000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000010001000010000001000001000000000000000010000100000000000001000000000001000000000001010000000000000010001000000000001000100000000000000000000000000000000011000001001000000110000000000000000000000000010000000100000010000001000100000000000000000000001000100000000000001000010000100000001100110000100000100000010000110000000000000000000000000000000100000001100010000100000000000000100000101000001000000000000000000000000010000010000100000000010001000000000000001000000000000000010000000000000100000000001000000000000010000000100001000000000000001010010000000000100000000000000000000000000110010000010010000000000000000000000000000000000010110000000000010000000000000000010000000000000100000000001000000000000001010000000100000000000000000000100000000000100000000000000100000010000000000000000000000000000001000001000000000000000100000000000000101000000000000000000100000000000000000000000000000010001100000010000000000000000000000000100001000001000010000000000010000000000010000000000100000000001000000000000000001010100010000000100000001000000000000000000000000000000001000000000000101001000000011000000000000100000000000000000000000000000010000000000101000100000000000100100000000000011010000000000000000010000001000000010000001000000001000100010001000000110101000000001000000000000100001000000000000000001000000000000000000001000001000000000000000000000000000100000000000000000000001000000001000000000000000100000000000010001000000000000000010000000100011010000000000001000001000000000010000010000000000000000000000000000000000000000000000000000000000100000001010000001001000000100000000000000000001000000000010000000000000000000010000001000000000000000000000000000000000000000000000010001110010000010000001000000000101000010001000000000000000001000000000000000000010000000010000000000000001000000001000001100000000110000000000000001000000000000000000000000000000000000111000000000100101000000000000001000000000000100000000000000000000000000000000000010000101000000100011001000000010000000000001010000100000001000000000000000000001000100000001000000000000010000000000000001000100000000000000000000000000100100000000010000100010000000000000000000110000000000100000000000000000000000000000100010000010000000010000000000000000000000000000100000000000000000000000000100000000000010000000001110100000000000000001100000000000000000000010100000000010000000000000000000000000000000000000001010000000000001010100000000000000000000000000000000000000000000010000000100001000000 -0.5119883968727663 275.0
00000000000000000000000000000000001000100000100000010000000000000000010000000101000000100000010000000000000010000010000000000000010000000001000000001000001100110001010000010000001000000100000000000000010000001001000000000000000000000000000000000000000010000000000000100001000000000000000000000000000000000000010001000000000000100001000000000000001010000000000000010001000000000000000000000001000000001000000010000000000000001000100000000000000010000000000000000001010000001000000110000000000000000000000000000000000000000000000000000000000000100000100000001000100000010000001000000000000100011000010100110000100000010000100000010000000000000000000000000100000101000000000100000000000000100000001000001000000000000001000000000010000010000000000000000001100000000000001000001000000000110000000000000000000000000000000000000010000100100001000000000000001010010100000000100000000010000010000000000110010000000001000100000000000000000000000000000010110000000000000000000100000000010000010000000100000000000100000000000100010000000000000000000000000000100000000000000000001000000100000000000000000000000010000000000001100100000000000000010100100000000001101000000000000000000000000001000000000000000000001010000000000000000000000000000000000000000001000000000010000000000000000000000010000000000110010000001010000000000000000000000000000000100011001010000001000000000000010000000000000000100000110101000000000010000100000000000001000000000000000000000010000000000001000000000000000100100000000000010100001000000000100000000000000010010000000000000000000100010001000000100111000010001000000000000000001000000010000000000000000000010000010000000001000000000000000000000010000100000000100000000000001000000001000000100000001000000000000010001001000000000000010000001000001000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000001000110000001010000001001000000000000000000000000000000000000010000000001000000010000000001000100000000001000000000000000000000000000000000101110010100011000000000001000000000000001000000000000000001000000001000000000010000000010010000000000000000000100000001100000000010000000000000000000000000000001000000000000000000000101001000000000001000000000000001000100000000100000000000000000000100000000010000010000001000000100010011010000010000000001011010000001000001000000000000100000000000000000001000000000100000010000000000001000000000000000000000010000000100000000000010000000110000000100000000010110000000000100000000110000001000000010000100010000000000000010000000001000000000000000000000000000000000000000100000000000000000010000000001100000000000000000011100000000000000000000000000000000000000000010000000010010000000000010000001000010000000001000000000000000000000000000000000000000000000000010000100100000000000 -0.5188383947825059 281.0
