# Problem = Knapsack
# Variables = 1
# Objectives = 2
100001000010001111001100000101100110000101001100010010000001100000000011100001000000001100001100100101100000001101001100100001000000001110001100100001100010001101001100100001000000001110001100000000010000000000000000000000000100000000000000000000001000000010000000000000000100000001000001000101100010000001001000000100100110000001000100000001000000000000000000100001000000001110001100000000010000000000000000000000001000000010000000000000001000000010000000100001001000001101001100000001000010000101001000000000001000000010000000100001101000001111001100100001101010001111001100010000000001100000000011000100000010000001001000 -1.7240922073833644 139.0
100001000010001111001100000101100010000001000000010000000001100000000011100001000000001110001100100101100000001100001100100001000000001110001100100001100010001101001100100001000000001110001100000000010000000000000000000000000100000000010000000000001000000010000000000000000100000001000000000101100110000001001000000100100110000001000100000000000000000000000000100001000000001110001100000000010000000000000000000000001000000010000000000000001000000010000000100001001010001101001100000001000010000101001000000000001000000010000000100001101000001111001100100001101010001111001100010000000001100000000011000100000010000001001100 -1.7084673075005412 136.0
100001100010001111001100000001100010000101001100010010000001100000000011100001000000001100001100100101100000001101001100100001000000001110001100100001100000001101001100100001000000001110001100000000010000000010000000000000000100000000000000000000001000000010000000000000000100000000000000000101100110000101001100000100100110000001000100000000000000000000000000100001000000001110001100000000010000000000000000000000001000000010000000000000001000000010100000100001001010001100001100000101000110000101000000000000001000000010000000100001001000001111001100100001000010001111001100010000000001100000000011000101000110000001001100 -1.7293005073443055 140.0
100001100010001111001100000101100110000101001100010010000001100000000011100001000000001100001100100101110010001101001100100011000001001110001101100001100010001101101100100001000000001110001100000000010000000000000000000000000100000000000000000000001010000010000000000100000100000001000000000101100110000101001100000101100110000101001100000000000000000001010000100001000000001110001100000000010100000000000000000000001000000010000000000000001000000010000000100001101010001111001100010101100110000111001100000000001000000010000000100001101010001111001100100001100010001111001100010010000001100000000011000101100110000101001100 -1.8369388065766543 170.0
100001100010001111001100000101100010000001000100010010000001100000000011100001000000001100001100100101100000001101001100100011000000001110001110100001100010001101001100100001000000001110001100000000010000000000000000000000000100000000000000000000001000000010000000000000000100000001000000000001100110000101001100000100100110000001000100000000000000000000000000100001000000001110001100000000010000000000000000000000001000000010000000000000001000000010000000100001100000001111001100000101000110000101000000000000001000000010000000100001101000001111001100100001101010001111001100010000000001100000000011100101100110000001001100 -1.7614184070844203 146.0
100001000010001110001100000101100110000101001000010010000001100000000011100001000000001100001100100101100000001101001100100001000000001110001100100001100010001101001100100001000000001110001100000000010000000000000000000000000100000000000000000000001000000010000100000000000100000000000000000100100110000101000100000101100110000001001100000000000000000000000000100001000000001110001100000000010000000000000000000000001000000010000000000000001000000010000000100001101010001101001100000000100110000101001000000000001000000010000000100001101000101111001100100001101010001111001100010000000001100000000011000101000010000101000100 -1.7501337071880698 144.0
100011100000001111001100000101100110000101001100010010000001100000000011100001000000001100001100100101100000001101001100110011000000001110001100100001100010001101001100100001000000001110001100000000010000000000000000000000000100000000000000000000001000000010000000000000000100000000000000010101000110000101001100000001100110000101001100000000000000000000000000100001000000001110001100000000010000000000000000000000001000000010000000000000001000000010000000100001000010001111001100000001000010000101001000000000001000000010000000100001101000001111001100100001101010001111001100010000000001100000000011000101000110000101001100 -1.7718350070063025 149.0
100001100000001111001100000001100010000101001100110010000001100000000011100001000000001100001100100101100000001100001100100001000000001110001100100001000000001100001100100001000000001110001100000000010000000000000000000000000100000000000000000000001000000010000000000000000100000001100000000001000010000101001000000001100010000001000000000000000000000000000000100001000000001110001100000000010000000000000000000000001000000010000000000000001000000010000000100001000010001100001100000100100010000101001100000000001000000010000000100001101010001110001100100001000010001100001100010000000001100000000011000100000010000001000100 -1.6615926078520715 127.0
100001100010001111001100000101100110000101001110010010000001100000000011100001000000001100001100100101100010001101001100100001000000101110001101100001100010001101001100100001000000001110001100000000010000000000000000000000000100000000000000000000001000000010000000000000000100000001000010000101100110000101001100000101100110000101001100000000000000000000000000100001000100001110001100000000010000000000000000000000001010000010000000000000001000000010000000100001101010001110001100000101100110000101001100000000001000000010000000100001101010001111001110100001101010001111011100010000000001100000000011000101100110000101001100 -1.8334666066803038 165.0
100001100010001111001100000101100110000101001100010010000001100000000011100001000000001100001100100101100010001100001100100011000000001110001100100001100010001101001100100001000000001110001100000000010000000000000000100000000100000000000000100000001000000010000000000000000100000001000000000101100010000101001100000001100110000001000100000000000000000000000000100001000000001110001100000000010000000000000000000000001000000010000000000000001000000010000001100001101010001110001100000101100110000101001000000000001000000010000000100001101010001111001100100001001010001111001100010000000001100000000011000101100110000101001100 -1.795272306771949 154.0
