# Problem = Knapsack
# Variables = 1
# Objectives = 2
100000000000000000000000000000000010000001000000010000000001100000000011000000000000000000000000000100000000000000000000000010000000000000000000000001000000000000000000000000010000011000000000000000010000001000000000000000000000010000000000000000001000000010000000000000100100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000100001100000000000000000100001100010000000001100000000011010000000001100000000011 -0.09134819882456213 65.0
000000000010000000000000000000100010000001000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000001000000000011000000000000000000110000000000010000000000000000000000010000000000000000100000001000000000000000000000000000000100001000000000000000000100000101000000000010000001000000000000000000000100000100000000000000000000001100000000000000000000000100010000000001100000000000010000000000100000000001 -0.04887929937103763 36.0
000000000000000000000000000000000010000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000001000000000011000000000000000000110000000000010000000000100000000000000000000000000000000000001000000010000000000000000000000100001000000000000000000100001110000000000010000001000000000000000000000100100100000000000000000100001100000000000000000100001100010000000001100000000000010000000000100000000001 -0.055289699288550764 39.0
000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000001000000000000000000000000100000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001000000000011000000000000010000010000000000010010000000000000000000010000001000000000000000001000000010000000000000000000000100001000000000000000000100001100000000000010000001000000000000000000000100001000000000010000000000000100000000000000000000000100000000000001100000000010010000000000100000000001 -0.05929619923699647 41.0
000000000000000000000000000000001010000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010000001000000000000000001100000000011000000000000010000010000000000010000001000000000000000010000001000000000000000001000010010000000000000000000000100001000000000000000000100001100000000000010000001000000000000000000000100000100000000000000000000001100000000000000000100001100000000000001100000000010010000000000100000000001 -0.06730919913388789 45.0
000000000000000000000000000000000010000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000001000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000010000000000000010000000001100000000011001000000000010000010000000000010000001000000000000000000000000000000000001000001000000010000000000000000000000000001100000000000000000100001100000000000010000001000000000000000000000100000100000000010000000000001100000000000000000100001100000000000001100000000001010000000000100000000001 -0.06410399917513132 43.0
000000000000000000000000000000000010000001000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000010000001000000000000000001100000000011000000000000010000110000000000010000001000000000000000010000000000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000000001100000000000000000100000100010000000001100000000011010000000000100000000001 -0.07291829906171188 47.0
000000000000000000000000000000000010000001100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000010000001000000010000000001100000000011000000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010100001000000000000000000000100001100000000000000000000001100000000000000100100001100000000000001100000000011010000000000100000000001 -0.07452089904109016 50.0
000000000000000000000000000000000010000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000001000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000010000001000000010000000001000000000011001000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000000001100000000000000000100001100000000000010000001000000000000000000000100000100000000010000000000001100000000000000000100001100000000000001100000000001010000000001100000000001 -0.07051439909264445 46.0
000000000000000000000000000000000010000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000001000000010000000001000000000011000000000000010000110000000000010000001000000000000000010000000000000000000000001000000000000000000001000000000100001100000000000000000100000101000000000000000001000000000000000000000000001100000000000000000000001100000000000000000000000100010000000001100000000011010000000000101000000011 -0.061700099206063896 42.0
000000000000000000000000000000000010000001000000010000000000100000000011000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000010000001000000000100000010000001000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000100001100000000000000000100001100010000000001100000000011010000000001100000000011 -0.08894429885549471 60.0
000000001000000000000000000000000010000001000000010000000001000000000011000000000000000000000000000100000000000000000000000010000000000000000000000001000000000000000000000000010000001000000000000000010000001000000000000000000000010000000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000100001100000000000000000100001100010000100001100000000011010000000001100000000011 -0.08974559884518385 63.0
000000000000000000000000000000000010000001000000000000000000000000000010000000000000000000000000000000000000000000100000000010000000000000000000000001000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000100101100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000100001100000000000000000000001100010000000001100000000011010000000001100000000011 -0.084937798907049 57.0
000000000000000000000000000000000010000001000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110010000000010000001000000000000000010000000000000000000000001000000010000000000000000000000000001100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000100001100000000000000000100000100110000000001100000000011010000000001100000000011 -0.08093129895860329 54.0
000000000000000000000000000000000010000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000001000000000000000000000000000000000100000001000000010000000000000000000000100001100000000000000000100001100000000000010000001000000000000000000000100001000000000000000000100001100100000000000000100001100010000000001100000000010010000000001100000000011 -0.07612349902046844 51.0
000000000000000000000000000000000010000001000000000000000001100000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000100001100000000000000000100001100010000000001100000000011010010000001100000000011 -0.08734169887611642 58.0
100000000000000000000000000000000010000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000010000000000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010001000000000010000000001110000000011001000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000000000001000000000000000000000100001100000000000000000100001100000000000000000100000100010000000001100000000011010000000001100000000011 -0.07852739898953587 53.0
000000000000000000000000000000000010000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000010000000000000011000000001100000000011001000000000010000110000000000010000001000000000000000010000000000000000000000001000000010000000000000000000000000001100000000000000000100001100000000000010000011000000000000000000000100001100000000000000100100001100000000000000000100000100010000000001100000000011010000000001100000000011 -0.07772609899984673 52.0
000000000000000000000000000000000010000001000000010000000000000000000011000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000010000001000000000000000000000000000000001000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000000000000000000000010000000000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000100001100000000000000000100000100010000000001100000000011010000000001100000000011 -0.08253389893798158 55.0
000000000000000000000000000000000010000001000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000000000001000000000010000001000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010000011000000000000000000000100001100000000000000000100001100000000000000000100001100010000000001100000000011010000000001100000000011 -0.08333519892767072 56.0
100000000000000000000000000000000010000001000000010000000001000000000011000000000000000000000000000100000000000000000000000010000000000000000000000001000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000110000001000000000000000010000001000000000000000001000000010000000000000000000000100001100000000100000000100001100000000000010100001000000000000000000000100001100000000000000000100001100000000000000000100001100010000000001100000000011010000000001100000000011 -0.09054689883487299 64.0
100000000000000000000000000000000010000001000000010000000001100001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000001000000000000000010000001000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000010000001000000010000000001100000000011001000000000010000110000000000010000001000000000000000010000001000000000000000001000000010000000000000000000000100001100000000000000000100001100000000000010000001000000000000000000000100001100000000000000000100001100000000000000000100001100010000000001100000000011010000000001100000000011 -0.08814299886580557 59.0
#
