# Problem = Knapsack
# Variables = 1
# Objectives = 2
000111011110000001000000011010000001111011110000001101000010010000010101011110100010000101101101000110000100100000001000111100001000110101111110111100001111111011111110101111110111100011111100110111110000100000000000000010100000000110101111110111101011101001110111110101111110111100011111100111111000001000000101000001000000000000110101111110111000011111101111111 -0.29545230232179165 181.0
000100011000000000000000000010000000000011010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000011010100000000001011010000010100000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000110000101010000000000101000000000000000000000000000000000000000000110100010100000000001100001000000 -0.08953100070357323 35.0
000100010100000000000000001010000000000011110000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000001011010100000000001010000000010100000000000000000001000010000000000000000000000000000000000000000001000000000000001000000000000010000101000000000000101100000000000000000000000000000000000000000110100010110100000000000001010000 -0.10123890079557896 39.0
000111011110000101000100011010000000111011110000100100000010000000010101011110100010000101101101000110000100000000000000111100001000110101111110111100001111111011111110101111110111100011111110110111110000100000000000000010100000000110101111110111101011101001110111110101111110111100011111100110101000001000000100000001000000000000110101111110110000011111101111111 -0.29132010228931904 175.0
000111011110000001000000001010000000111011110000001101000010010000010101011110100010001101001101000110000100000000000000111100001000110101111110111000001111111011111110101111110111100011111100110100110000100000000000000010100000000110101111110111101011101001110101110101111110111100011111100111101000001000000000000001000000000000110101111110100000011111101111111 -0.28994270227849483 168.0
000100011110000000000000001010000000100011110000000000000010000000000100010000000000000100000101000000000000000000000000001000001000110101111110100000001011111000000110100101000100000000011000110000000000000000000000000000000000000000001000000000000001000000000000110100101110100000000101100110000000000000000000000000000000000000110101111110100000001110001110000 -0.18663770146667957 77.0
000100011110000000000000001010000000100011110000000000000010000000000100000000000000000000000000000000000000000000000000000000001000010001011110100000000001011010000110100100100000000000011000110000000000000000000000000000000000000000001000000000000001000000000000110000101000100000000101000100000000000000000000000000000000000000110100111110000000000000101100000 -0.14187220111489296 56.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000000000000000000000000000000000000000000001000010000011110100000000001011010000110100000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000110000101000100000000101000100000000000000000000000000000000000000110101111100000000000100101000000 -0.12189990095794201 48.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000000000000000000000000000000000000000000010101011110100000000001111000000110100001100100000000011000110000000000000000000000000000000000000000001000000000000001000000000000110100101110100000001100000000000000000000000000000000000000000000110101111110100000000110001110000 -0.1570236012339592 63.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000000000000000000000000000000001000000000010101011110100000000011011000000110100100100100000000011000100000000000000000000000000000000000000000001000000000000001000000000000110000101000000000000101100010100000000000000000000000000000000000110101011110100000000010101110000 -0.1549575012177229 61.0
000100010110000000000000001010000000100011110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000101011110100000000011011010000110000100100000000000011000110000000000000000000000000000000000000000000000000000000001000000000000110100101000000000001101100010000000000000000000000000000000000000110100011110100000000000001110000 -0.13911740109324455 54.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000001000000000000000000000000001000001000110101111110100000000001111010000110100101010100000000011000110000100000000000000000000000000000000000001000000001000001000000010000110100100010100000000101100110000000000000000000000000000000000000110101111110100000000110101110000 -0.18250550143420696 75.0
000100011110000000000000001010000000000011110000000000000010000000000100000000000000000100000000000000000000000000000000000000000000010101011110100000000001111000000110100000100100000000011000110000000000000000000000000000000000000000001000000000000001000000000000110100101110100000001101100110000000000000000000000000000000000000110101111110100000000110101110000 -0.16528800129890442 67.0
000100010110000000000000001010000000110011110000000000000010000000000000000000000000000100000000000000000000000000000000000000000000010101011110100000000001011010000110100100010000000000011000010000000000000000000000000000000000000000000000000000000001000000000000110000101010000000000101100000000000000000000000000000000000000000110100011110100000000000001010000 -0.13567390106618404 53.0
000101011110000000000000001010000000101011110000000000000010000000110101011110100010001100001101000110000100000000000000111100001000110101111110100000001111111011000110101111110111100001111100110111110000100000000000000010100000000010101011110111100001100001110100110101111110111100011101100110101000001000000000000001000000000000110101111110110000001111101111010 -0.2761687021702528 147.0
000111011110000001000000011010000001111011110000000101000010000000010101011110100110000111101101000110000100000000001000111100001000111101111110101100001111111011101110101111110111100011111100110111110000100000000000000010100000100110111111110111100011101001110111110101111110111100011111100111111000001000000100000001000000000100110101111110110000011111101111111 -0.29269750230014324 179.0
000100010110000000000000001010000000000011010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001011110100000000001011001000110100000100000000000011000010000000000000000000000000000000000000000000000000000000001000000000000110000101010100000001100000010000000000000000000000000000000000000110100111110000000001000001000000 -0.1177677009254694 47.0
000100010110000000000000001000000000100010110000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000100011110100000000011011010000110000000000000000000001000110000000000000000000000000000000000000000000000000000000001000000000000110000101000000000000101100000000000000000000000000000000000000000110100011110000000000000001110000 -0.1170790009200573 45.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000000000000000000000000000000001000001000010101011110100000001001011010000110100100100110100000011000110000100000000000000000000000000000000000001000000000000001000000000000110100111000100000000101000110000000000000000000000000000000000000110101111110100000001110101110000 -0.17561850138008595 72.0
000100011110000000000000001010000000100011110000000000000010000000000100001000000000000100000001000010000000000000000000000000001000110101111110100000001001011010000110100101110100000000011000110000000000000000000000000000000000000000001000000100000001000000000000110100111110100000000101000110000000000000000000000000000000000000110101111110100000001110101110000 -0.18939250148832798 79.0
000100011110000000000000001010000000100011110000000000000010000000000100000000000010000100000000000000000000000000000000001000001000010101011110100000000001011010000110100100000100000000011000110000100000000000000000000000000000000000001000000000000001000000000000110000101000100000000101100110000000000000000000000000000000000000110101111110100000000110101110000 -0.16804280132055283 68.0
000100011110000000000000001010000000100010110000000000000010000000000000000000000000000100000000000000000000000000000000100000000000000100011110100000000001111010000110100100000000000000001000010000000000000000000000000000000000000000001000000000000001000000000000010000101000100000000101100000000000000000000000000000000000000000110100111100000000001100101100000 -0.13223040103912354 52.0
000101011110000001000000001010000000100011110000000000000010000000010101011110100010001101001101000110000100000000000000111100001000110101111110100000001111111011100110101111110111100001011100110101110000100000000000000010100000000010101011110111100001100001110101110101111110111100011101100110111000001000000000000001000000000000110101111110110000011111101111010 -0.277546102181077 149.0
000100011110000000000000001010000000100011110000000000000010000000000100010010100010000100000101000010000100000000000000111100001000110101111110100000001011111010000110100111110111100000011000110000110000100000000000000010000000000000001011110111100001000001110100110101111110110000001101100110000000001000000000000001000000000000110101111110100000001111101111000 -0.24586590193212032 117.0
000100011110000000000000001010000000100011110000000000000010000000000000000100100000000100000001000010000000000000000000011100001000110101111110100000001011111010000110101111110100000000011000110100110000000000000000000000100000000000101010010011000001000001110000110100111110111000000101100110000000000000000000000000000000000000110101111110100000001110101110000 -0.22245010174810886 100.0
000100011110000000000000001010000000100011110000000000000010000000000100000000000000000100000000000000000000000000000000000000000000010101011110100000000010111000000110100100100100000000011000110000000000000000000000000000000000000000001000000000000001000000000000110100101000000000001101100110000000000000000000000000000000000000110101111110100000000010101110000 -0.162533201277256 65.0
000100011110000000000000001010000000100011110000000000000010000000000100000010100010000100001001000010000000000000000000111000001000110101111110100000001111111010000110101111110100000000011000110000000000100000000000000000100000000000001000000110100001000000110000110100111110101100000101100110000000001000000000000001000000000000110101111110100000001111101110000 -0.22520490176975727 102.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000101000000000000000000000000001000000000010101011110100000001011011000000110100101100000000000011000110000000000000000000000000000000000000000001000000000000001000000000000110100101110100000000101100110000000000000000000000000000000000000110101111110100000000110001110000 -0.17355240136384964 70.0
000100011110000000000000001010000000100011110000000000000010000000000100000000000000000100000000000000000000000000000000001000001000100101111110100000001011011010000110100100000000000000011000110000000000000000000000000000000000000000001000000000000001000000000000110000101100100000000101100110000000000000000000000000000000000000110101111110100000000110101110000 -0.17148630134761333 69.0
000100010110000000000000001010000000000011110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001011110100000000001011010000110100000100000000000001000010000000000000000000000000000000000000000000000000000000001000000000000110000101010100000000100000000000000000000000000000000000000000000110100011100000000000000001000000 -0.10812590084969997 42.0
000100011110000000000000001010000000100011110000000000000010000000000100000000000000000100000000000000000000000000000000001000001000010101011110100000000001011000000110100100000000000000011000110000000000000000000000000000000000000000001000000000000001000000000000110000101000100000000101100110000000000000000000000000000000000000110101111110100000000110101110000 -0.1611558012664318 64.0
000000011110000000000000000010000000000011110000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000001011110100000000000110010000110100000000000000000001000110000000000000000000000000000000000000000001000000000000001000000000000110000101010100000000101000000000000000000000000000000000000000000100100011110000000000010001000000 -0.11294680088758469 44.0
000100000110000000000000001010000000100011110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000101011110100000000001001000000110100000100000000000011000110000000000000000000000000000000000000000001000100000000001000000100000110000101000100000000101000000000000000000000000000000000000000000110100111110000000000000101110000 -0.12947560101747513 51.0
000100011110000000000000001010000000100011110000000000000010000000000100001100100000000100001101000010000100000000000000111000000000110101111110100000001011111011000110101111110111000001011000110100110000100000000000000010100000000000001011110110100001000000110100110100111110111100001101100110100000001000000000000001000000000000110101111110100000001111101111000 -0.24793200194835663 119.0
000000010110000000000000001010000000000011110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001011110100000000001011000000110100000100000000000001000110000000000000000000000000000000000000000001000000000000001000000000000110000101000000000000100000000000000000000000000000000000000000000110000011100100000000000001000000 -0.10399370081722736 40.0
000100010110000000000000001010000000000011110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001011110100000000001011010000110100000100000000000001000100000000000000000000000000000000000000000000000000000000001000000000000110000101000100000000100000100000000000000000000000000000000000000100100011010100000000000001100000 -0.11156940087676048 43.0
000100011110000000000000001010000000100011010000000000000010000000000100000000000000000100000000000000000000000000000000001000001000010101011110100000000101011000000110100000000000000000011000110000000000000000000000000000000000000000001000000000000001000000000000110000101000100000000101100000000000000000000000000000000000000000110101111110100000000100101110000 -0.15082530118525028 60.0
000100010110000000000001001010000000100011110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000101011110100000000001011010000110000000100000000000011000010000000000000000000000000000000000000000000000000000000001000000000000110000101000000000000101100010000000000000000000000000000000000000110100011110100000000000001010000 -0.12603210099041462 49.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000001000000000000000000000000000000000000100101111110100000000011111000000110100111110100000000011000110000000000100000000000000000100000000000001000000000000001000000000000110100101110100000001101100000000000000000000000000000000000000000110101111110100000001010001110000 -0.17837330140173435 73.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000000000000000000000000000000000000000000010101011110100000000001111000000110100100100000000000011000110000000000000000000000000000000000000000001000000000000001000000000000010000101000100000000101000000000000000000000000000000000000000000110101111110100000000000101110000 -0.14600440114736557 57.0
000101011110001000000000011010000001110011110000001101000010010000010101011110100010001101101111000110001100100000001000111100001000110101111110111100001111111011111110101111110111100011111100110111110000100000000000000010101000000110101011110111100011100001110111110101111110111100111111100111111000001000000000000001000000000000110101111110110000011111101111011 -0.29200880229473114 177.0
000111011110000001000000011010000000100011110000000001000010000000000101011110100010000111101101000110000100000000001000111100001000110101111110111100001111111011110110101111110111100001111100110111111000100000000100000010100000000110101111110111100011101001110101110101111110111100011111100110111000001000000000000001000000000000110101111110110000011111101111010 -0.28718790225684643 166.0
000111011110000001000000011010000000100011110000000100000010010001010101011110100010000111001101000110000100000000000000111100001000110101111110111100001111111011110110101111110111100001111100110111110000100000000000000010100000000110101111110111100001101001110111110101111110111100001101100111101000001000000000000001000000000000110101111110110000011111101111010 -0.2864992022514343 163.0
000110011110000000000000001010000000100011110000000000000010000000010100011110100010000100001101000010000100000000000000111100001000110101111110100000001011111011000110101111110111000001011000110100110000100000000000000010100000000100101011110111100001100001110100110101111110111100001101100110101000001000000000000001000000000000110101111110110000001111101111000 -0.26514950208365917 134.0
000101011110000000000000001010000000100011110000000000000010000000010100011110100010001101001101000110000100000000000000111100001000110101111110100000001111111011000110101111110111100000011100110100010000100000000000000010100000000000101011110111100001100001110100110101111110111100011101100110101000001000000000000001000000000000110101111110100000001111101111000 -0.2679043021053076 137.0
000100011110000000000000001010000000100011110000000000000010000000110100010110100010001101001101000110000100000000000000111100001000110101111110100100001111111011000110101111110111100001011000110100110000100000000000000010100000000000001011100111100001100001110100110101111110111100011101100110101000001000000000000001000000000000110101111110100000001111101111000 -0.2665269020944834 136.0
000100011110000000000000001010000000100011110000000000000010000000010100011110100010000101101101000110000100000000000000111100001000110101111110100100001111111011010110101111110111100001111100110110110000100000000000000011100000000100101011110111100001100001110101110101111110111100011101100110100000001000000000000001000000000000110101111110110000001111101111000 -0.2741026021540165 145.0
000100011110000000000000001010000000100011110000000000000010000000000100001110100010000101001101000010000100000000000000101100001000110101111110100000001111111011000110101111110111000000011000110000110000100000000000000010100000000000101011100110100001000001110100110101111110111100001101100110100000000000000000000000000000000000110101111110100000001111101111000 -0.25206420198082924 122.0
000100011110000000000000001010000000100011110000000000000010000000000100001100100000000100001101000110000100000000000000111100000000110101111110100000001111111011000110101111110111100000011000110100110000100000000000000010000000000000101011110111100001000001110100110101111110111000001101100110000000001100000000000001000000000000110101111110100000001111101111000 -0.25344160199165344 124.0
