# Problem = Knapsack
# Variables = 1
# Objectives = 2
010010000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000001000000000000010000000000000000000000010010100000000000000100000001000110010100000000000000010100000000000000000000000000000000000000000110000000000000010000011110001000010010100000000000000000000000000000000000000000000000000000000000 -0.2690560952760279 30.0
110010101010100011100111110001000000110011110100011110101010001000000110011110100000000100001101000110110111110100011100111111111100000110011110110011100110011001000110110111111100011100111110111010110110100000100001100111101001000000101000010011100001100000100100110110111110100011101111110111100111010100000000011100111110001010010110011110100111100001011111000 -0.9664678898407146 184.0
110000010000000010100000010000000000000000010000000000000000000010000000000000000000000000000000000000010000000000000000111000001000000000000010000000000000010000000010010100000000000000100000001000110000100000000000000010100000000000000000000000000000000000000000010010100000000000100000110001000010000100000000000000000000000000000000000000000000000000000000000 -0.28287229512352496 34.0
010010100000000011100000110000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000011000001000000000000010000000000000000000000010010100000000000000100000001000110010100000000000000010100000000000000000000000000000000000000000110000000000000010000010110001000010010100000000000000000000000000000000000000000000000000000000000 -0.3103505955077708 35.0
110010110000100011100111110001000000110011110100011100100010001000000110011110100000000100001101000110010111110100011100111111001000000100011110110010000100011001000110110111110100111100111110011000110010100000100001100111100001000000001000000011000001000000100100110110111110100011101111110111000110010100000000001100111110001000000100011110100010100101011111000 -0.9355904897674918 158.0
110000100000000010000010110000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000101000001000000000000010000000000000000000000000010100000000000000110100001000110000100000000001000010100001000000000000000000000000000000000000110010100000000001100110110001000000000100000000000000000010000000000000000000000000000000000001000 -0.34694499615579844 40.0
110010100000100011100111110001000000110011110100011100100010001000000110011110100000000100001101000110010111100100011100111111011000000110011110100010000100011000000110110111110100001100111110011000110010100000100001100111100001000000001000000011100001000000100000110110111110100011101111110111100110010100000000001100111110001000000100011110100010100001011111000 -0.930769489845261 154.0
110000000000000010100001110000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000111000001000000000000000000000000000000000000010010100000000000000101000001000110000100000000001000111100000000000000000000000000000000000000000110010100000000000100110100001000010000100000000000100000000000000000000000000000000000000000000000 -0.33635119535028934 38.0
010010000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000101000001000000000000010000000000000000000000010010100000000000000101000001000110010100000000001100010100000000000000000000000000000000000000000110010100000000011000010110001000010010100000000000000000000000000000000000000000000000000000000000 -0.3278891942463815 37.0
110010100010100011100111110001100000110011110100011110101010001000000110011110100000010100001101000110110111110100111100111111111000000110011110110010100110011101000110110111110100011100111110111000111010100001100001100111100001000000101000010011100001000000100100110110111110100011100111110111100110011110000000001100111110001000010110011110100110100001011111000 -0.9613024898571894 179.0
010000000000000010000010110001000000000000000000000000000000000000000000000000000000000000000000000000010100000000000100101000001000000000000000000000000000000000000110010100000000000000100010001000110010100000000000000110100000000000000000000000000000000000000000110010100000000011000011110001000010000000000000000100000010000000000000000000000000000000000110000 -0.36717779468744993 42.0
010000000000000010100011110001000000000000000000000000000000000000000000001000000000000000000000000010010100000000001000111100001000000000000000000000000000000000000010010100000000001000100100001000110010100000000001000010100001000000000000000000000000000000000000110010100000000010100110110001000000000100000000000100000010000000000000000000000000000000000000000 -0.4068869943730533 47.0
110010000000000010100011110001000000000000000000000000000000000000000000000000000000000000000000000010010100000000000100011000001000000000000000000000000000010000000110010100000000001100111100001000110010100000000000000011100000000000000000000000000000000000000000110010100000000011000011110001000100010100000000000000000010000000000000001000000000000000000000000 -0.4440834950655699 52.0
110000100000000000100000100001000000100000000000000000000000000000000000000000000000000000000000000100010000000000000100011000001000000000000000000000000000000000000110010100000000000000111000001000110000100000000001000010100000000000000000000000000000000000000000110000100000000010000110110001000010000100000000000100000010000000000000000100000000000000000000000 -0.35585889453068376 41.0
