# Problem = Knapsack
# Variables = 1
# Objectives = 2
000100011110000000000000001010000000101011110000000101000010010000000100111110100010000100001101000110000100000000000000111100001000110101111110100000001111111011001110101111110111100011011000110101110000100000000000000010100000000100101011110111100001101001110101110101111110111100001111100110100000001000000000000001000000000000110101111110101100001111101111010 -0.2761687021702528 147.0
000100011110000000000000001010000000100011110000000000000010000000000000010000000000000100000001000000000000000000000000001000001000110101111110100000001111111011000110100111110101100000011000110000000000000000000000000010100000000000001001100010000001000000000000110100111110100000000101100110000000000000000000000000000000000000110101111110100000001111101110000 -0.21005350165069103 91.0
000100011110000000000000001010000000100011110000000000000010010000000100111110100010000100101101000110000100000000000000111100001000110101111110100000001111111011111110101111110111100001011000110100110000100000000000000010100000000110101011110111100001000001110101110101111110111100001111100110100000001000000000000001000000000000110101111110100000001111101111010 -0.2727252021431923 142.0
000100011110000000000000001010000000100011110000000000000010000000000000010010100000000100000101000000000000000000000000111100001000110101111110100000001111111010000110101111110101100000011000110000110000000000000000000000000000000000001001110110000001000000000000110101111110111000000101100110100000001000000000000001000000000000110101111110100000001110101111000 -0.22933710180222988 105.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000001000000000100000000000000001000001000110101111110100000001011111011000110100111110100100000011000110000000000000000000000000000000000000000001000100110000001000000000000110100111110110000000101100110000000000000000000000000000000000000110101111110100000001110101110000 -0.20454390160739422 87.0
000100011110000001000000001010000000100011110000000000000010000000000100011110100010000100001001000110000100000000000000111100001000110101111110100000001111111011000110101111110111100001011000110100110000100000000000000010100000000000101011110111100001000001110100110101111110111100001111100110100000001000000000000001000000000000110101111110100000001111101111000 -0.26514950208365917 132.0
000100011110000000000000001010000000100011110000000100000010000000000100111110100010000100001101000110000100000000000000111100001000110101111110100000001111111011000110101111110111100001011000110100110000100000000000000010100000000100101011110111100001100001110101110101111110111100001111100111100000001000000000000001000000000000110101111110100100001111101111010 -0.2713478021323681 140.0
000100011110000000000000001010000000100011110000000000000010000000000000010000000010000100000101000010000000000000000000011100001000110101111110100000001011111011000110100111110101100000011000110100000000000000000000000000000000000000001001000100000001000000100000110101111110111000000101100110000000000000000000000000000000000000110101111110100000001110101110000 -0.21694050170481205 96.0
000100011110000000000000001010000000100011110000000000000010000000000100011100000010000100001001000100000100000000000000111100001000110101111110100000001111111011000110101111110111100001011000110000010000100000000000000000100000000000101001110111100001000001110100110101111110110100000101100110100000001000000000000001000000000000110101111110100000001111101111000 -0.25137550197541714 121.0
000100011110000000000000001010000000100011110000000000000010000000000100011110100010000100001101000110000000000000000000111100001000110101111110100000001011111011001110101111110111100001011000110100110000100000000000000010100000000000101011110111100001000001110000110101111110111100001101100110100000001000000000000000000000000000110101111110100000001111101111000 -0.26032860204577446 128.0
000100011110000000000000001010000000100011110000000000000010000000000100011110100000000100001101000100000100000000000000001100001000110101111110100000001111111011000110101111110101100000011000110100000000000000000000000010100000000000101001110110100001000001110100110101111110111100000101100110100000000000000000000001000000000000110101111110100000001111101111000 -0.24724330194294453 118.0
000100011110000000000000001010000000100011110000000000000010000000000000010000000000000100000001000000000000000000000000011100001000110101111110100000001111111010000110100111110100100000011000110100000000000000000000000000000000000000001000000110000001000000000000110100111110100000000101100110000000000000000000000000000000000000110101111110100000001111101111000 -0.20867610163986683 90.0
000100011110000000000000001010000000100011110000000000000010000000000000001110000010000100000101000110000000000000000000011100001000110101111110100000001111111011000110100111110111100001011000110100010000000000000000000010000000000000101001100111100001000000010000110101111110101000001101100110100000000000000000000000000000000000110101111110100000001111101111000 -0.2389789018779993 112.0
000100011110000000000000001010000000100011110000000000000010000000000100011110000000000100001001000110000100000000000000011100001000110101111110100000001011111011000110101111110101100000011000110100000000000000000000000000100000000000001000010101000001000000100100110101111110111100001101100110100000000000000000000001000000000000110101111110100000001111101111000 -0.2376015018671751 111.0
000100011110000000000000001010000000100011110000000101000010010000000100111110100010000100001101000110000100000000000000111100001000110101111110100000001111111011001110101111110111100011011000110101110000100000000000000010100000000100101011110111100001000001110101110101111110111100001111100110100000001000000000000001000000000000110101111110101000001111101111010 -0.2734139021486044 143.0
000100011110000000000000001010000000100011110000000000000010000000000100011110100010000100001001000110000100000000000000111100001000110101111110100000001011111011000110101111110111100001011000110100110000100000000000000010100000000010101001110111100001000001110000110101111110111100001101100110100000000000000000000001000000000000110101111110100000001111101111000 -0.25895120203495026 127.0
000100011110000000000000001010000000100011110000000000000010000000000000010000000000000100000001000000000100000000000000011000001000110101111110100000001111111010000110100111110101000000011000110000000000000000000000000000000000000000001001110100000001000001100000110100111110101000001101100110000000000000000000000000000000000000110101111110100000001111101110000 -0.21418570168316364 94.0
000100011110000000000000001010000000101011110000000101000010010000000100011110101010000101101101000110000100000000000000111100001000110101111110110000001111111011011110101111110111100011011000110101110000100000000000000010100000000100101011110111100011101001110101110101111110111100011111100110110000001000000000000001100000000000110101111110110100001111101111010 -0.2803009022027254 155.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000001000000000000000000000000001000001000110101111110100000001011111010000110100111110100000000011000110000000000000000000000000010000000000000001000000010000001000000000000110100111110100000000101100110000000000000000000000000000000000000110101111110100000001111101110000 -0.1990343015640974 83.0
000100011110000000000000001010000000100011110000000000000010000000000100010010100010000100000101000100000100000000000000101100001000110101111110100000001111111010000110101111110100100000011000110100110000000000000000000010100000000000001001110110000001000001000100110101111110111000000101100110000000000000000000000001000000000000110101111110100000001110101111000 -0.2362241018563509 110.0
000100011110000000000000001010000000100011110000000000000010000000000000000000000000000100000001000000000000000000000000001000001000110101111110100000001011111010000110100111110100100000011000110000000000000000000000000010100000000000001000000000000001000000000000110100111110100000000101100110000000000000000000000000000000000000100101111110100000001110101110000 -0.1969682015478611 82.0
001100011110000000000000001010000000101011110000000101000010010000000100111110100010000101101101000110000100000000000000111100001000110101111110100000001111111011011110101111110111100011011000110111110000100000000000000010100000001100101011110111100011001001110101110101111110111100011111100111110000001000000000000001000000000000110101111110110100001111101111010 -0.2809896022081375 156.0
000100011110000000000000001010000000100011110000000000000010000000000000000010000000000100000001000000000000000000000000001000001000110101111110100000001111111010000110100111110101000000011000110000000000000000000000000010000000000000001000000010000001000000000000110100111110100000000101100110000000000000000000000000000000000000110101111110100000001110101110000 -0.2017891015857458 85.0
000100011110000000000000001010000000100011110000000000000010000000000100011110100010000100000101000100000100000000000000011100001000110101111110100000001111111011000110100111110111100000011000110100110000100000000000000010100000000000101001110100100001000000110000110101111110101100001101100110100000001000000000000000000000000000110101111110100000001111101111000 -0.24862070195376873 119.0
000100011110000000000000001010000000100011110000000000000010000000000100011110100010000100000001000110000100000000000000111100001000110101111110100000001111111011000110100111110110100001011000110100110000100000000000000010100000000000101001110111000001000001110100110101111110101100001101100110100000001000000000000001000000000000110101111110100000001110101111000 -0.25413030199706554 123.0
000100011110000000000000001010000000101011110000000100000010000000000100111110100010000100001101000110000100000000000000111100001000110101111110100000001111111011000110101111110111100001011000110100110000100000000000000010100000000100101011110111100001100001110101110101111110111100001111100111100000001000000000000001000000000000110101111110100100001111101111010 -0.2720365021377802 141.0
000100011110000000000000001010000000100011110000000000000010000000000100011110100010000100001001000110000100000000000000111100001000110101111110100000001111111011000110101111110101100001011000110100110000100000000000000010100000000000101001010111000001000001110000110101111110111100001101100110100000001000000000000001000000000000110101111110100000001111101110000 -0.25550770200788975 124.0
000100011110000001000000001010000000101011110000000101000010010000000100111110100010000100001101000110000100000000000000111100001000110101111110100000001111111011010110101111110111100011011000110100110000100000000000000010100000000010101011110111100011100001110101110101111110111100001101100110100000001000000000000001000000000000110101111110110000001111101111010 -0.2747913021594286 145.0
000100011110000000000000001010000000100011110000000000000010000000000000000010000000000100000001000000000000000000000000001000001000110101111110100000001011111010000110100111010100000000011000100000000000000000000000000000000000000000001000000000000001000000000000110100111110100000000101100110000000000000000000000000000000000000110101111110100000001100101110000 -0.19008120149374008 78.0
000100011110000000000000001010000000100011110000000000000010000000000000011110100010000100001101000110000100000000000000111100001000110101111110100000001111111011000110101111110111100001011000110100110000100000000000000010100000000000101001110111100001000001110101110101111110111000001101100110100000001000000000000001000000000000110101111110100000001111101111000 -0.26170600205659866 129.0
000100011110000000000000001010000000100011110000000000000010000000000100011100100010000100001001000110000100000000000000111100001000110101111110100000001111111011000110101111110111100001011000110100010000100000000000000010100000000000101011110110100001000001110100110101111110111000001101100110100000001000000000000001000000000000110101111110100000001111101111000 -0.25826250202953815 126.0
