# Problem = Knapsack
# Variables = 1
# Objectives = 2
110010100000100011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100111110001000110010100000100001100111100001000000000000000000000000000000000000110010100000000011100111110001000110010100000000001100111110001000000000000000000000000000000000000 -1.6161352004855871 74.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100111110001000110010100000100001100111100001000000000000000000000000000000000000110010100000000011100111110001000110010100000000001100111110001000000000000000000000000000000000000 -1.600423799827695 73.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100111110001000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100111110001000110010100000000001100111010001000000000000000000000000000000000000 -1.5658611990511417 71.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100011110001000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100111110001000110010100000000001000111010001000000000000000000000000000000000000 -1.5271795000880957 69.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100011010001000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100101110000000010010100000000001000111010000000000000000000000000000000000000000 -1.4294109027832747 64.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100111110001000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100111110001000110010100000000001000111010001000000000000000000000000000000000000 -1.5465587992221117 70.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100111110001000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100111110001000110010100000000001100111110001000000000000000000000000000000000000 -1.5840253997594118 72.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100111010000000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100111110000000110010100000000001000111010000000000000000000000000000000000000000 -1.4702567011117935 66.0
110010100000000011000111110000000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100110100001000000000000000000000000000000000000110010100000000001100011010000000110010100000000000100111100001000000000000000000000000000000000000110010100000000011000101110000000110010100000000001000111000000000000000000000000000000000000000000 -1.3054026011377573 58.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100011010000000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100111110000000110010100000000000000101010000000000000000000000000000000000000000 -1.4090941026806831 63.0
110010100000000011000111110001000000000000000000000000000000000000000000000000000000000000000000000110010000000000001000110100001000000000000000000000000000000000000110010100000000000100011010000000110010100000000001100011100001000000000000000000000000000000000000110010100000000010000101110000000110010000000000000000101000000000000000000000000000000000000000000 -1.1780949030071497 52.0
010000000000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000010000000000000100011010001000110000000000000000000011000000000000000000000000000000000000000000000000000000000010000000110000000000000000000000000000000000000000000000000000000000000000000000000 -0.45896099880337715 20.0
110010100000000011100111110000000000000000000000000000000000000000000000000000000000000000000000000110010100000000000100111100001000000000000000000000000000000000000110010100000000001100011010001000110010100000000001100111100001000000000000000000000000000000000000110010100000000011000101110000000110000100000000000000111010000000000000000000000000000000000000000 -1.347146201878786 60.0
110010100000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000100010100000000000000000000000000000000000000000000000000000000000100000000000000000000011010000000110000100000000000000011100001000000000000000000000000000000000000110000100000000010000100100000000000000000000000000000010000000000000000000000000000000000000000000 -0.676501801237464 29.0
110010100000000011000111110000000000000000000000000000000000000000000000000000000000000000000000000110010100000000000100110100000000000000000000000000000000000000000110010100000000000100011010000000110010100000000000100011100001000000000000000000000000000000000000110010100000000010000101110000000010000000000000000000011000000000000000000000000000000000000000000 -1.094732502475381 48.0
110010100000000010100011110000000000000000000000000000000000000000000000000000000000000000000000000100010100000000000000010100000000000000000000000000000000000000000110010100000000000100011010000000110010100000000000100111100001000000000000000000000000000000000000110010100000000010100101110000000010000000000000000000011000000000000000000000000000000000000000000 -1.0508194044232368 46.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000001100111100001000000000000000000000000000000000000110010100000000001100111010001000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100101110001000110010100000000001000111010000000000000000000000000000000000000000 -1.4896360002458096 67.0
110000100000000010000011110000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000110000000000000000000000000000000000000000000110000000000000000000010010000000110000000000000000100011100001000000000000000000000000000000000000110010100000000010000000100000000000000000000000001000000000000000000000000000000000000000000000000 -0.6949963998049498 30.0
110010100000000010000111110000000000000000000000000000000000000000000000000000000000000000000000000100010100000000000000010000000000000000000000000000000000000000000100000000000000000100011010000000110010100000000000000011100000000000000000000000000000000000000000110000000000000010000101100000000000000000000000000000110000000000000000000000000000000000000000000 -0.7874467000365257 34.0
110010100000000010000111110000000000000000000000000000000000000000000000000000000000000000000000000100010100000000000000110000000000000000000000000000000000000000000110010100000000000100011010000000110010100000000000100011100001000000000000000000000000000000000000110010100000000010000101110000000010000000000000000000000000000000000000000000000000000000000000000 -0.9652719050645828 42.0
110010100000000011100111110001000000000000000000000000000000000000000000000000000000000000000000000110010100000000000100111100001000000000000000000000000000000000000110010100000000000100011010000000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100101110000000110000100000000001000111010000000000000000000000000000000000000000 -1.3692430034279823 61.0
110010100000000011000111110000000000000000000000000000000000000000000000000000000000000000000000000110010100000000001000111100001000000000000000000000000000000000000110010100000000001100011010000000110010100000000001100111100001000000000000000000000000000000000000110010100000000011100101110000000010010000000000000000010000000000000000000000000000000000000000000 -1.2418382056057453 55.0
110010100000000010000011110000000000000000000000000000000000000000000000000000000000000000000000000110010000000000000000000000000000000000000000000000000000000000000110010000000000000000011010000000110010100000000000000111100001000000000000000000000000000000000000100000100000000010000100100000000000000000000000000000010000000000000000000000000000000000000000000 -0.766829302534461 33.0
110010100000000010100011110000000000000000000000000000000000000000000000000000000000000000000000000100010100000000000000010100000000000000000000000000000000000000000110000100000000000100011010000000110010100000000000000011100001000000000000000000000000000000000000110000100000000010000101100000000000000000000000000000110010000000000000000000000000000000000000000 -0.9205362033098936 40.0
110010100000000010100011110000000000000000000000000000000000000000000000000000000000000000000000000110010100000000001000110100000000000000000000000000000000000000000110010100000000000100011010000000110010100000000000100111100001000000000000000000000000000000000000110010100000000010100101110000000010000000000000000000011000000000000000000000000000000000000000000 -1.1163475029170513 49.0
110000100000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000100010000000000000000001010000000110000100000000000000011000001000000000000000000000000000000000000000000000000000010000100100000000000000000000000000000000000000000000000000000000000000000000000000 -0.5150782987475395 22.0
