# Problem = Knapsack
# Variables = 1
# Objectives = 2
0100001000000000000101100000010000110010011010000010010000000001000000110010000000000000000000000100000000100000000000100000001000000010000010000000000000000000000100000010000000111000000100001000101100110000000001101000000000000100000100000000000111010001000000010000110000000001010001000000001000100010000000001000100001100010100101111100000100000100100100010010100000101000000001100110110011000000000000000000000000000001000001000111100000110000010001001000001000000110000000000000000000000000100001000000010000000000011001100000000001100010001001000001010100010000000000000000001100000000000100000000000010000000111101000000000000000000001011100001000001100010000001000000000000110101000001000010000000000010010000001000000100000001000000000001000001001010101110001000001000000111110000000000000010001000010101100100001100010001001100100000000000000000010000000000000000100000000100000010001000000100010000000000000001110011100000010000011100000101000100101000000101100100100010100100011101001001000100000000100101111001100000001000011000100100000000100000000110010011100110101101010110011010100111000000000000000000000010010000000000000001110010111000001000000101001000000001101010101001000010010000001000001000001001100010000000011100000001000001001010001000000001100000100100010000000000000000000000000100000010000100000000000100000000000010000000000000001000000101000000010000100000001101000001100100100000011101100000000001001000000000000001000000000000000000010010000010000010000010010010010110100001000110010000000000100010000000000000000010011100010010000000000010010000010000001001000010100000100000001001000000010000000110001000000011101001101000010011001010000000001000000110001100000001010001001110000010000000000100010000000000001010100110010110100010001101011101111000011110000000000000110111111010000010000000000000010000000000100000100100000000000000101101111010010000011000000000000011000000000100000000000110001011100000000000000010101000010000000000000001000010001000000001000000000000000000001001011000000000100000001100000010000100011000000000010010010000000000100110000000000001001010010000000000001100100100010001000100000011001010000110000001110010000000000000000100000011000001000000000001100000001101110100000100000100110110101111100001001111110001111111100001110001100000011000100000000010010011000000101000000000010000000000100010100000000000111000100100001010000100000000001000000000110010101000110001000000010010000 -0.037463200256752316 554.0
0111011000001110010101100001110011100010111110110110101110010001000011111000000011011000100110001110001001110000010000000001010000000110000000011100100100100110000100100010101001100110001000001010100000110000100010101001000000110110000011000000100010000000000100001000010001010000010010010000001100000100100000000000110011100001111101111101110110101110110111110111111001101111010011111111111011111000000010100010110000000100000100111011010001100111101000111100101100101110010000000110001000100100011101000010100001000000000010100010010100000100000001010101100000100001000010011010000100111000101001100000100100000000101001000010001001101100100010110001100000110100010001000001000111101010100000100000010011000000011001000000001010001000000100000011101101001000111100001111000010011011110000000001110110100010011011001100000101111000011101011000000011000000001100000000110110110000000000001000000010000100000011100001111011110011111000010110001100001000011100001000001001110101111001100011111111010111001000100010000010111001101010100010001100100001100010001111011100000000100101111101111100000010011111000010010100001000000010001001101000110001110010110010101011010100000101110101110000100111000101011000101100001000001000100000011001110001101101001001011111000000110000000000001010101000010000100000000000001000010010000100101010000110000000110010100000111000000000000001001110110010100100010010111001100010010100101101101000111100100001010010100001110011001001100010110111110110111110010100000111110000101100010100010000010100000001110001001110010100111110011110101010000011101011110010110000011010110100011001000011000101110000101110001011000001001101101100000101100001000000101001100110001100001111111110001010000010111000100110110010000101000010101101111110001100001101011111111100111110111010000101111111111110110110000000010001010101000000001000000110001011000000110011011000000000001000000010100010100000111001000010000010011001111110010110101111011101011100010101001101100100010001101001100000111000001101110000011011010001101110011011001011100011110101011010000000110000100110100110001000110001001110110011100010001111100011110001110100001111010001000010000111001000000100101001000110000111110100100000111101110000101101110101100100101110111111101111111001001111111001111111111111000010110000010110101010001010001010101010001010010110110110010111111001100000011000011000111010100100001000000001001010010101111110001111011111000001010010000 -0.05290950048947707 1015.0
0101001000000001000101000000010000110110001010000011000000001001000000100000001000000000000001000100000010100000000000011000000000000010000100000000000010001000000000000010001000111010001000001000100000010000001000101000011000000100000100000000010000110001000010000000010001010001010001000100001000100000000000001000100001100010000101100100000100000100100101010110100000101010010001100111110011010011000100010000010000000001000000100010000001110000010001001000010100001100000000000000000000000100000000010000000001000000000000100000000001100000001000100000010000000000000000000010101110000000010000000000000011000000101000000000000000000000000011000000100001100000000001000000000010110000000000100010000000000010010000001100000110000000000000000001000001001000101100001000100001000110110000000000100010001000010100100100000000010000001100110000001000000000000000000000000000100001000100000010011000000100000000000000010101110011001000000000001100000001001100101000000101100101101000100100011101010101000000000000000101111001101000001000010000100101000010100001000110000011101110101101010100010010000111000000000010100000100011000000000000011001100010011010100000000001001000010001101010100000000000011010001000001000011000100010000000110100100000000100001000001000000000000000100100010000000000000000000000000110000100000000000000000100000000000010000001000000000000001001000000010000100000001000000001100100000000011101100000000000000000010000000101001000001001100000000010010001000010000000000010101010100001000110001010000100100010000000000000000100011110110010000100000011000001010000001001100000000000000000001000000010010000000110101000000111101001100000010011000000001000000000100110100101000001010001001000000000000000000110001100000001001010100010000110110100001101011011011101011100010000100000010111111010000011000000000000000100010000000000000110000000000000101011011110000000000000000000000010100000010001010000000010101011100000000001010010110000000000100000000100000110010000000001000100000000000000100000011000000000100000001000000010100000001000000000000000010100000000100111000100000001001000001000000000111111100000010001000100001011000010000010000101100110000000000000000100110011000001001000101001100000101101110100000100000100110110101111101010011110010001111111101001100010100000011011101000001010010011000010100000010000010000000000100010100000010000111000100001001000010000000000000000000000110010101000000000000001110010000 -0.03970900026979507 571.0
0100000000000000000101100000010000000000011110000011010000001000010000110010000000000000000001001100000000100000000000111000001000000010000110000000000000000000001000000010000000111000001000001001110100110010001001101000011000010100000000000000000100010001000000010010000001010001010000000000001000000000000000000000100001100000000101111100000100000101100101010110100000101000010001110101110010000001000000000110000000000010000000000110100000110000010001001000001000001110000000000000000000000000000000100000000000000000011001100000001001100000001001000001010000010000000010000000100000000000001110000000000010000100110101000000000000100000000010100001000001100010010000001000000010010000000001000010000000000010010000001000000100001001000000000001000001001000101110101000100000000100110000000010100010001000010110100100001100010000001101100000000000000000001000000000000000000001000100000010001000000100010000000001000001110011101000010000001100000100001100101000000101100100000000100001011100001101000000000000000101111001101000001000010001100100000000100011000110010011101110101101110110010010100111000010000000000000000010000000000000000001100000111000101001000101001000000001101000101000000010010001001000001000011001100010000000111100000001001001001010001000000001000000000100000000000000000000000000000100000010001110000000000100000000000010000000000000000000001100000000010100100000000001000001100100100000011101100000000011001001000000000001000000001001000000010000000000000110010000000010010010100001001110000000000000100010000000000000000010011110110010100100000010000001010000101000000010000000100000001000000011010000000110001000000111101001100000010010000000000000001000000110100100000011000001001010000010000000000100010000000100001010100011010110100010000101011010011100011110000000000000110100111010000010000010000000010000000000100000100010010100000000101001011110000000001000000000000011100000000100000000000011001011100000000001000000101000010000000000000101000000010000000001000000000000000100101001010000000000100000001100000010000100001000010000010010010100000000100110100000000001101000111000000000011100100100010001000100000011001110000110000001010010000000000000000000000011000000000000100001100000100101110100000100000100110110101111100001011111110001110111100001100001100000011000000000001010010011000000101000000000010100000000100010100000010000111011110000001010000110000010000000000000100010101000110001000001110100000 -0.03821140024592751 569.0
0100001010000000000101100001001000110010011010000010000000000001000000111011000010000000000000000100000000100100000001100101000000000000000010000000000000000000010000000000000000111000000000001000100100110010000000101000000000010100000000000000000101000001000000000000100000010000000001000000001000000000100000000000100011100110100101110101000110000101100100110010100000101010000001110111110110110100000000000010010000000000000001010011100000110001000001101000001000000100000000000000000000000000100000010000000001010000000011101000000000101000001001000001000000001001000000000000001100000000000100000000000010000000001101000001000000001000000011000001000001100010010001000000000000100000000001000010000000000010000000000000010101001001000000000001000101001010001010001000101000001101110000000001010010001000010100100100000100110000101000101000000000000100010000000000010010100000000100000010001000000100010000000000000001110011100000010001001100000101001000101000001101100100100010100000011101000001000000000000100100011001101001100000011000100000001000100101001100010011100111101100110110001010101111000000000000010000001010000000010000000000100000011001001000000001001000000001100010101001000010000100001000001001100001100010000000111100000101000000001100001000000000100000000000010000000000000000000000000000000010000110000000000100000000000010000000000000000000000100000000010000000000001101000001100010100100011101100000000001001000000000000001000000000000000000000100000011010010000000010010010000110000000110001000000100100010000001000000000010011100010011000000000010010000010000011000100010100000100001001001000001110000000000001000000011101001101000010001000000000001101000000110001100000011010001001000000000000000000110010000000000001010100010010110110110001100011101111000111100100000000000110111111000000010010010000000011100000000000000000110000000000000101101111000000000001000000100000011000000000110000000000110101011100010000000000000101000000000000010001100000010000000000000000000000000000110001001011000000000000000001100000010000000011001010000000000010000000010101110000000000001001011010000000000001001100100110000001100001111001010000110000001110010000000000001000000000001110010100000100001100000100101110100000100000101110110101111101001011100110001110111100001010001100000011000100000001010010011000010001000000101010000000000000110100000000000111010100100000010001000000001000000000000111010101000010011010001010110001 -0.04001520028032246 576.0
0100001000000100000001100000011000000010011010000011000000001000000001101000000010000001000000000100000000100000000000011000001000000001001000000000000000000000001001000000000000110000000010001000110000010000110010101010000000000100000110000110000000000001000000001000011100010000001011000000001010010000100110000000110001100010101101111101100110000001101101010110111000101011010001110111101011110010010000010000000000000000000000100011000000110100010001001100001100001000100000000000000000000001000000010000001001010000000001000000000000000000101000100000010000000001000000000000001000000000001110000000000010000000001001000000001000100000000000000001000001100000010000000000000110100000000000000010000000001000010000011000100010001010010000000001010101001010101110001000001001000100110000000001000010100000010000100000000100010000001001100000000000000000011000000001010010000000000100000010000000100000000000000001000001110000101000010001001100000100001000101100001111100101111011100000010101010101000100000000000100111000100000000000010000000100000000000011111010000001011110101100010110010110110111000000000000100000000100000000000000010000100000110000000001000101000000110001000000101000000010000100001000001001000000100000000101111100100011000000001000000000000000000000000000000000000100000000010100000000001010000100000000000100000000000010000000001000000100000001000000100001000000000101000011100010000000001100000000000000000000000000000000001000000011001000010000000001000000000000000001110000101001001110001000000100000010100001000000000100011100010010100001100000000000010100000000000000000000101001000001000101000000001100001111000101100001100000000000000001000001101000000110100001000011010000000000000010000000000110001000000000000010100001100110100110001100011011111000110100110010000101010111111001000010010100000000000101000010101000000110000000000000000101111011000000000000000000000010000000000100100000010010101001110000000110100000100000000000000000001100010000010000000001000001000000001110101000011000001001100010001100000010000100000001011000000010010100000000100010100100010001001111001000011000011111100101000101000100001011001110000110000001000000000000000001010000000011110010000000100001110000110101110101000100000100100111101111001010101110110000111111111001000010100000010000001001000110010011000010100000010001010100010000100110101100000010111010101000000001010000000000001000000000100010001000010001000001100100000 -0.04110440029762685 589.0
0100001000000100000001100000010000100110011110000010000001001000000000111001000010000000000000000100100000100000000000001001001000100001000000010010000001000010000001000000000000110000000000001001110000010000110000101000001000000000000100000101010000000001000000001010011000010010000001000000101010010000100100000100110001100010101101110101000110000101101111010110111000101010010001110011101011110010010000010000000000000000100000110011000000110000010001000000000100001010100000010000000000000001100000010000000001000100000001000000000000000000100000100000010000000001000010000000001000000000001110001000000010000000101001000000000000000000000000000000000001100000010000000000000001100000000000101010000000000000010000011000000010001000010000000001001101001000101110001001001001000101110000000010100010100000010100000000000100010001001001100000001000000000101000000000000010000000010100001010000000100100000000000001010001110010101000010010001100000000001000101100001111100001011011100001010101010101000100000000000100111100100000000000010000000100010000000110111010100000111110101100010110010010101111010000000000000000100100000000000000011000101000010000001001000101000001110001100000101000000000000010001001001001001100100000000001011000100011000001001000000010000000000000001000000000000001010000010100000000000010000100000000000100000100000010000000000000000100000001000000110000000000000001100001100010000000001100000000000000000000000000000000001000000011001001100100000001000100100000000000010000101010001110011001000000100011100000000000000100011110010010100001100001001000010100100000000000000000100001000001000101000000001110001011000101000001100000000000000001000000101000000110100000000011010000000000000010000000000111100000000000000000100000000110100100001101111011111000110100011010000101010111111011000010010100000000000101010000100000000110000000000010100101111011000000001000000000000010000000000100100000010010001001110001010110000000110000000000000100001100010010010000000000000000000000001110001001011000001000000010001100000010000100000000011000000010010100000000100011000100010001001110001000010100011111100001000001010100001010000110000111001101000000000010000000010000000011110000000000100001110000100101110100000100001100100110001111001010101110010001110111110001100010100000010000001000000000010011000010101000010000010100010000100110101100000000111000001000000001010000000000001000000101100010101000010001000001110100000 -0.04215880029005348 597.0
0100001000000000000101100000011000000000011010000110000000000000010001111000000000000000011001001000000000100000000010010000000000000010000100001000000000000000001000000000000000111000000010001001100000111010101001101100001000000000000000100000000000000001000000000010011100110011010101001000001000000000000000000000101001100000000101110100000110000101110100010110101000100011010001111111111011100100000000000000000000100000000000000111100000110000010001111000001000001110101001000000000000000000001000010000000001000000001001100000000000100000001000100000010010001001010000000010001010000000000100000000000010000000010101000000000000100000000000000001000001100010010001000000000110110000010000000010000000000010010000011110000010011101000000000011000001001000001110100000101000001110100000000000100000100000010100100000000100010000000100100000000000000000000000000000010010100000000100000010101000000100010010000000010001110011101000010100001100010100001000101100000111100100101001100000010000000100000010000100000100111101001000001000110001001100000000100011011010010000101100101000010100011110110111000110000000000000000011000000000001001001110000111100101001000001000000100001001000100000000010010001001000001100011000100000000001010100000001000000001011010000000000000000001000000000000100000000000000000100100010011000000000000100000100010010000000001000000100000100000000010000100000000001010001100010000000011101100000000011000001000000000001000010001001000000010000000100000000010000000000010010100000001110001000001000000110000010000000000000011110110000100000000011100000010000001000000000000000100000000000000011010000000100001010000001001001101000010010000001000000001000000110100100000001001000001010000010000000000010010000000000001000100000010110100110001100011010111000111110000010010101110111111001000010001100000000000000000000001000100010000000000000100001001110000000010000000000000011100000000000000000000000001001100000000101000000101000001000000000000100100000010000000011000000100000001100101001011000001101100000101100000010000100000000010000010010010100000000100010100000000101101010110000000010011101100001000000000100000011001010000110000001010000000000000000000000000011000000000000100001000000101101110100100100000100110111101111010010001111111001110111110001100001110000010010000101001010010011000010100000010000010100010000100110100000010000110001111000001010000011000110010010000000100010011000000001000001010000000 -0.04090000028372742 586.0
0100000000000000000001100001110001101010011110010010000100010000110000111001000000000101000000000000000010000010100000010001010010000010001000101000000000000000000100000010001100110100010000001011100000110010111010101000000001011110001000010000101000000001010000100000101010010000101011010100001001000010000000000001110101100011101101110101100110000110110111111111111010111011100101110111110111100110000010000000000100000010000101100011110011100010010010111100111000001100010000000010000001001001000010000000000001000000100001100000000001000000000000000000100000010001000000001000000011000010101101101000001000000010100101000000101001000101100010101001100001000000010001000001100110100010000000000001010011000010011000001000010110001100110000000001001001101100111110011111000011011011110000000001110100100000010000001101000100111000010101011000000110101000100100000101010110100000010001001000000001000110110000000011010101110011101000011010000110000000011000001000001001000101100000100001111111010101000000000100010000111001100000011100000100100001000010000001011000010000100010101001000100000010011111100010110000010011000110001010011000110110110000110110001101010100000110110101110000100110000101011000101000001000001010100000010001110001100000001000001101010000101000000010111000000000000000100011000000000010000000001101101010000110010000000010110000000000001001000001000110010000110000010111110101100010000100011110100000000000101000010000100000000010001011100000100000010100011010010000000111110000101100000100011000001000000001001011000100010010111111010011100000000011000000010001000000000100010010001000000001000001010000001111001111000011001101100100000010000000000000101100000110001100000111111011101000000010110000000110100100100101010010100111110110000000001111111011111100111110111010100101011111111011000010100000001000010101000001001010000110010010000100110011011000000000000000000001000010110000010110000000001010011001100000100100100000111100011001010010001100010000100000101001000000001001001100110001011001010001100110001010010011011000111001010100101100010010000000100111100100111101001100000101000010001111100001100000011100001011000011010110000001000011000010000010000010000111110110110000111001010001101101110101100110101101111111101111111000111110110001111111111111100010100010010010001100000010001110000101101000110111010101000010110001100001011000011010100000000100000101000001000100010000111010001011000100000000001110000 -0.051310900464159204 848.0
1001011000101010000001110101110001110110111111010111110010011101001010111010000010100010001110010110001010111000000100000010110000010101000000010100001110000000010000100010100101100000000000001010100000110000100010101010100000011110001000010000000000000001010100010000100000010000001000000000001001100010101000001001110101100111100101110101100100001100110111110011111010111000111101110111100111110010000110100010100100100010100101111011000001110011110000111000100100001110010010000110000000011100011000100000000000010001100010000000000001000100001000001000000100100001000010000010000000111001101001000000001000011001001001000100101001100100100010100011000011111000010001000100000111101010000000000000010001000100001100001000000000011001101000000001000001001000111100001111001001011111110000000000110010100100010100000100000100011000000111111000010000000000001100000000100010000000000000001100000000000110100010100001010001111011101000010010001100000000001101001000001001100001110001100010011111011101101000000010000000111001101000101000000100100001001000001101010001010000000001111101110100001011011111100010010110000100100100001000010100010000110000111110111101010110001001010011100000100110000001010100101111001000001000100010000101110001000101001000011001000010010110000000100010001010000001100000000000000011001000001101000110000100100011101010110001110000010000000001001100010011100010010100111001111010000000011101100010100100100000010000100000000011001001100001101000110101001110010100010100110000101000000101101000011001001010100000001110010100011110010011010011000011000001010010010000011110010100001001000000000001110000101111001011010011000001110000000001000011000000001000100111001100000011111010101001000110110100100110000110110111000000100111111110110100001101011001111100111110111010000101110111111000110010000001000000000111010000000000000010010010000000100011111010000101001100100000100010100001100011000000001010010001101000010111100001011101001100011100000110100000100001101100001000001000001101110000011011111001100110001011000110101100110001111000000000010010110011100011100000111101001100111101000010000111100001100001110100001111010011000110000011001000000100001011001100010111110100100000111101110000101101110101100100101110111111101111111010011110111011111111111111000101110010110010111011000011000010000011101110010001010101000010101100010000011000011100101011010100010000000101110010010001111010011010001001010001010110000 -0.05229740047798259 930.0
