# Problem = Knapsack
# Variables = 1
# Objectives = 2
0100000010001000000101100000000000000000010000100001101100001000000000101000000000000000000000000000000100100010100000000110000000000001010100011000000001000000000100100000001000000000000010011000000000111000100011011000000010101010000010100010000000010000000000000000000000000000000011001001000000000010000000000010111001000010101101110101100100000100110101010010110011101011000001110100010011111001100010000000010000110000101100000011000000111000110000101000000000000100001000100100001001000000000000100000001000000100011000000001000000000111000100000000001000000001001000001000000010000010101001001100000001000001010010010000000011101100000000101001000101100010001000000000000100000000000000000010000010000000001000110000000000001000101000001101000101101001001100000010000000001001110000100000100011000000100000110100000000000000010101001000000000000100000001000001000010000010000000000100000100000100000010010010000000100011001000000010011100000000111100000000010001000000100001000010110101000111000000011000001000100010000000000001000100000000100000000011010111001000000001001000000000000010001111000000011100000111010011100000000000101000110000010110000110000100000000110000100001110000001010010010001000001010000011100101000000010000100000111001001000001000001000000000000101010000100100100000100100000011010000000000000000100100000001000010000000000000000001100000000100010001000001000101111001000000000000000100000001000000000001000101000000000001010000000010000000100100010000000010100000101000100000000100000000000100000000000000010000001000011111010010000010010000000001010000101000000000010000000001000000000000000001001110000010010111100101110000000100000000000010001000001000000100000010111000001000000000000001010010001100000001000000000000010110000100000000001101110000011100110010000001110010101000111010100000001000100011000000001010100000010100010011100001111010000000100010000000000010010000100000000001010010000001100000011000000001001000000000000000001000000000010011000101000100101000000000100000011100000000000011010100000011001000000001001000001000001010001000100101000000101101001000000110000000000011100001000000001101100011000110000010011000100000010001100100100000100011110000001000110100000000101101110100100100000100111111001011110010001110100001111110100001010000110100110000111000000011000010001011001000110000010001000000001000001100011000000000110000000000001000000000000010110000110010000010000010000000000001000 -0.03947040025377646 585.0
0000011010001000000101100001110001101001111110110011011001001000000100111010011000100000011000010000000101100001010001000001100101100100101001000000001001100000101000010110000001011100000111011100000010111010111010101110000000001110101110100000010000000110000100000010100000010100010100101010111100001010000000000110111001110011101101110101100100100100110111111111111011101111011001111111111111110100000000000010100110000010000000111011000000101001100010111100111101000100111010000101000000000011110000000011011000000010100000010000010000000001101010010000000000010100001010001000000011000000100000110000100000000000000000001100111011110110100010101011000111111000010101000000001111100110110100000010100000000100000100011001011000011100000000000011010101001100111101001110100101001111110000000011100011101000111111001101010110110011000101101010010100000001010110100100001010000001100000010000001000000111000101000011000001111111101000010010001100001000011010101000000001110011011101110100011111111101010100011100000100111010000000000001001000001011100000101101011010111000001111011010110010000010001111100001111111100110000111001010010010110010111000010000000110010100001101110101110010101111000101011000101011001001001000110001010011110011110001100000001100001000000000011000011110000010010101100000000100001000000000011000000000100000000100010011001001000000101111100010010101011100000001000001110001111001100100001100101001000010100011011000000000000000100011100010110111110101111010001000010110010000101000000100101110011001100001000010010001010111111110010010000010010011010111010011000110010010011100101001100110010001010001011111101010010011111101111110001011011100000110011001001111000101000011111000011001110110011010110111001010110001000000110001111110100100011110001111110010111110111011100011111111111011011010000100111000000101000000000010001110100110001011100111111100000101001101001001000111100001000000110000000010010101101001000000110010111001010100100100010100001100100100101101010001001001001011110000011001011101111111011111001011101000110000010000001011011000001100110110100001111111111000111111101000001111100001010100000101001011100110011010100001001010100000101111010000000011110110110000110101100010111101110101110100001100110111101111011010011111111011111111111111111000110010011010001110010011000011001011101010111101010000011000010011100001011100011101101001100100000000010011010000100010111010001111001101100001100001000 -0.05352180050249444 1044.0
0011011010101000000101100001110001100000111010101011011001001000000100111100000000000000001000000010000101101001110100000001100100110000001000000100111000001010100100110110001001010100000000011010000010110000110100111000000010001110100010100000000010010010100000000000000000011100010101101000011101001000100000000000111001101011101101110101100100100101110111110111111100101111110011111111111111100000000000000010100110000011010101100011000001100001111000111000111110000100111010000101100000000010010000001000000000001011100001000000010000000001001000000110000000000100000000000100000000000000100010000000000000000001000010000100110011110110000010101011001111111000010011010000000111100110011000000000000001000100001101000000010000011100000001010101010101001000101110001100111001011111110010001001100011100000010101000100000110010000000101101010100000010000000110000000001010101101001000110001101000100110000001000011100101111111101000100000001100000000011010001000100001101000110001110010011111111111010101000000000000111010000000000000101000000001100000000101011011111010111111101100111010000010011111000011010110101010010011001001000000110010111000010100000100010100000101110100110010110011000100010010101000001100101001110001000001110000100001000000101110000000010010000100011000000000000100100000110000000100000000011001001000100000000000010011100001010000100101101100000101010000000010000001110001110000000000001101001001000000000000011100000000000011100001000001110110010101110010001100010100110000101000000100000110011000001000000000000010010110011110011010100000000011110011010000000000010100011010001001100110010101010001001111001010000011001101111100000011011101000100111011001110100100000011111110001000000010010000000110011001010011010100110001111110000000001100011111111100111110111110010111110111111011011010000100111000000101010000100100000111110010001011101101111001001000001101001001000100101000100010100000000010010101101101000000100010011101101100000100010000100000000101101111000001010001001110111000011000010110111110001111000011101000010000001000000111010000001100100110100010111101111110111011000001101111100001110001000100001011000010000011010001011010000000001011000010000011110100110010110101100010111101111100100100011101111111101111010010011111111011111111111111111100110010011011001011000011000011001001101110111100010101011000110110001001011101011001111001100100010000011011000000000010111010001001000100010111000001100 -0.053250000502885086 944.0
0100001010001000101001000000000000100001011000000010001000011000000000011000000000000000100000000010000100000010100000010010000000000001000100010000000101000010000100000010000000010100001010011000001000100011110001111000000100111110001000100000000000000000000000000000100000001000000010110001011000000000000000100010111001000010001101110101100100000100100111110010111110101001010001110111010111100000001000000000010000010001100101000001000000101000110000101000001000000110001100000000001000001000000000100000000000010101011000010000000000001001000100000000000000000001001000001010000010010100101000100100000000000000010000010000000001100000000000000011000101100000101000000000000110100001000000000011000010010000001101000000000100001000000000010001000001101010001100000010000000000001111000000000100001000000000000000100000000000000010001101000000000000100001000000000011010100000000000000000000100100100000001000000000010100011101000000000001100000000001100000010100001000000101101100011011111000111100000000000001000101000000000000100000000001001100000000001010010001000100001101000100000000010001111000000010001010010010011110000001000101000100000010000010010000100000000110000100000100000001110000010101000001000000000100010000010110000000000010001000101000000001000000000000000000000001100100010011100000011001000100000011000100100000100000010101000000000000001000000000100110001000000000101110001000000000000000100000001000000000001000000000000000000000000001010000000100000010100000010100010110000101000000100000000110100010010000000010000000010011111010110000000000011100001010000100011001100010000010000000000000000000000001110001010001011100110100000000001000000000010001000001100001100000011111000001000000000010000011110001000000001000000101000010110100100010100001101010000011110100010000101110111111000110010100000000000000100000000000010110000000100000011100001110000000000000000000000110110000000010010000000010000000001000000000000000000010000000000000000001000000100010011000000000000100010000001100001011100000001001010111100100000011000000001101000000000000110001000000100000000100001001000100110000000000101100001000000011001000011000010000110001011100000000001001010000010000011110000000010110001000000101101011101100101100100110111101011011010001110110001111110100011010000110001011000101000000011100010000001010010110000010010000000100000101000001000000000100000000000001000000000000000100100110110001010010000000000000001001 -0.0418188002986426 588.0
0100000000001010001001100000100000100011011000100001101000001000000000010000000000000000000000000000000100000011101001000111000000000001110100000000000001000000000100100000001000010000010000011000001000110001010001011000000110011110000000100010000000010000000000000000000000000000000011000000001100000000000000000001111001000010101101110101101100000100110111010010110100101001000001110111110011110000000000000000001100100000100100100011000000111000111000101000001000010100001100000000101000000000100100100000000000000000001000010000000000001111000100010000000000000000000100001010000010010100100000101100000001000001000000010000000001100100000000001001000001110010000000000000001110100100010000000010000010010000000000111000000000001000010000100000000100100000001101000110000000001001111000000000000011000000000000110100000000010000011001000000001000001100000000000000000010100010000000000000000100000100010001000000000000110011101000000000001000000010011100000000000001000000011101000011011101000101000000010000001001100010000000000001000100000000100000000011010100000000000001001000000000000010001111000000110100000001010110100000000001101000100000010000000010001100000000110000110001110000000000000000001000001000000001100010000010110100100000000000000000000000000000001000000100001000001100000000100100000001001000000100010000100110000100000111000001000000001000000000000100010001000000000100111000000000001000000100000001000000100001000110001000000000000000000000000010100100010000000010100100101000100000000100000000000100000010000000010100000110011111010010000000000000100001010101100001100100010000010101000000100000000001001110000010010001100101100000101000000100000010001000001000001000000000111000001000000010000000010110001101000001000100100000110110000100000000001101110100011110110010000001110001101000010110010000001000000001000010000000100100111000000011100011010000100000000110000000000100000000100011000001000010000001001000001000000000010000000000000000000000000000010010001000000000101000000100100000011100000001000010000100000000001000100101001000000010000110001000100111000010110101001000100110000000011111100001101000011101000111000110000000001000100000010001000010100000001010100000000010110100000000101101010101100100000100100111111011010010001110110011111111100101010101110001011010011000100011001010000000001001110000010001001000000010100000011000010000110000000010000000000000001010000100110010000010000010010000000010001 -0.03991300026245881 586.0
0011011000101000000101100001110001100001111010110011011001001000000000111100000010000000001000100010000101101000110100000001000100100001001000000100000000101010100010111010001001010100000000011000000010110000110100111010000010001110100010100000010000010010000000000000001000010000010101101000011001011000100010000000111011000011101101110101100101100100110111110111111011111111110011111111111111100001000000000010100011000011011100100011110000100001110000111000111110000100101110000001000000000000010000111000000010000010100000001000011000000011001000000110100010000000000010000100000000100000100000000100000000000001000010000000100011111110000010100011001101111000011111010000000111100110011000100000000010000000000101000000010010001100000001000001010101001100101110001100011001001111110100001001100011100000000001000100000000110000010100100010100100010000010101001000001010001001000000110001001000100110000001000011100001111111101000100000001100000000011010000000000001100001110001100010111111111111011111001100000010111010000000100000101000001001100000000101011011111011111011101000011010001010011111000010010111101010010011001011000000110000111000010100000101010100000101110100110010111111000100111010000000001100101000100001010011110000100000000000101100000000010000000100011101000000000100100000010000000100000100011000001000110000000000000110100001010000100101101100010101010000001000000001000001100000000000001101101001000000000010011000000000010000101011000001100010110101110001001100010100110000101000000100110010111000000000110000000000010110011111011010100000000011110010010000000100010101001010001001100110100001010001001110001010000011111101101000000011011001000000101011000110000100000011011110001001000010010000010111001111010001010000100001111110100100101100011101111100111110111011011101110111111001011010001000111000000101000000100110000110100110001111100111111001001000001100001000000010100000001010000000000011010001101101000000100000011101101100100100010000101000000001101101000000010001000110110000011001010110111110101111001011101000010000000000000011010100111100101110100010111101001110011011000001001111100001100000010101001011000110000010010001011011100000001010000010000011110000110100110111100010111101110100100100001100110111101111111010011111111011111111111111110000110011011011001010010011000011001010101010011100110101011000010110001001011100011101101001100100000000010011001000000110111010001001000100010101000001100 -0.05270560048666084 922.0
0100001110001010101001000000100000000010011010100000001000001000000000111000000000000000001000000010000000000110100110010010001000010001000100000000000000000010000111000010000000000100000000011000010000110011110001101000000000111010000001100010000000010000000100000000000000110000000010010001001000000000001000000101110001000011001101110101100110000100110111010110111100101111000001110111010011100000000010000000000100000000000100000011000000101000100001101000001010000101001100000000000000000000100000100000000000000001001000000000000000000111000000000000001000000001000000010001000011000100000011100100000000100001000000010010000001100000000110001110000101100000000001000000001001100100010000000000000010001000100110000000000000000000000000000001000001101010001110100010000111000111111000000000100000000000010000100100000000000000010001101000010000000000000000000001101010100100000000000100100000000100001001000000010000100011101001000000001100000010011000000000000001100000110011100111101111010111000010000000001000100000000000000001000100100000000000000001010000000000000001100000100000001000011111001100101000000111010010100000001000101010100100010000000010000100000000110000110000100010000000000000101000001000001000100010000000110110000000000000000100000000000000000000000000001000001100100000010000000001001000100000010000100000000100000011000000000000000001000000000100110001001000000000110001000000000000000100100001100000000001000101000000000000000010100010000010000101010100100000100010110100101000000100000000100100000000000000011000000110011111110010000000000000000011010000100000000100010000000000010000000000000000001110001010010001000100110000000010000001010010001001000110000000000001111100101010000010010000010010001101000001001000111000010111101100011000001101110100011110110010000001110011111000011011010000000000000000010010000010010110010000000011110011010000010000000000000000000110000000010011000010000010000001000000000010000000010000000110000000001000000000000010001000000000000000100100100000011001000100101010000101000000011000000000101000000010000100001000100110000000101101001000000100000000000111100001010100000101000011000110100010001000000100010101000000000000000011110000000000110101000000101101110100100101000100110111101111101000001010110001111111100101001000110000001010001000000011100010000000101000010000010010000001000000101001001000011100001000000000000000000100000000000100110010000010000110010000000001000 -0.042431700301676756 592.0
0010001110001010000101000000010100110000011000100000001000001000000011111000010000000000001000000010010100100000000100000001001010000001001100000000000001000010100001000011000000001100000000001000011010110000010001001000000000001110000000100010000000000100000100100000100000000000000000000001100100001000000010100000110101000011101111110101100100000100110111010111110000111001000001110111111111110000000000001010000100000000000100100011000000101000110000101000001100000111011100000000000000000000010100010000000010001000001000100000000000000110000000100000000000000001001100011010000010010100000010000100000000000001000000010010000001100100000010001011001001110000000001000000001111100110010000001000010011010000100100011000000000001100010000000101000001100000001100001011000001000011110000100000100010000000000001100100000000000000000101100100000000010001000000000100000011000000100000000010000000000100010001001001010001000010101000000000001000000001001010001000100000000000001001100001111111000101000000001000000000110000000000100000000000000001100000000001010000010000100100001000000000000010000111000000000000000011010011111000000000100000100100010000000010000100001000011000110000100110000000010000001100001000001000100000000000010000101000000001100101010000000010000000001100000000001000100000100000000001000000100100000000100000000100010010000000000000000011100000000100010001000010000000110000101010000000001100000001000000000001000101000000100000000010000000000000100101000100010000000000001000001100000001000101100000100010000000010000000010011111010010000000000011001001010000101000100000011000000001000100100000010000001110000010000001000101100000001001001001000100001000001000001100000011111000001000000000100000000010101100000001000100100000010110000100001000001000110100011110110010000001110011111000010010001000000001000111000000010110000100010000010001100000001000000000001000100001100110000000000010100000100000000001001000010000000000010000000110000000000000000000000000000001000000000000000000100000011000011000101110001100000100001000101000101100100010011110010110100110000100110101001010101100000000011011000001100000001011001011000010100010000010100000110101000010000000000011110000000000110101001000101101110100100101001100110111101111100010001100100001111111100001010000110001011010011000001111010010000000000001110000010010000000000100101010001000010100011000010000000000000000000000000000111110001110001000000000000010000 -0.04314600030193105 606.0
0000110010101000001101100001110001100001111000100111010000000000000000111000000110100100011000010000000001000001100100000001000001000010000000000000000000100100000100110011000001000000000000010110010000110000010001101000000001011100000011001000100000001000010000100000000000000000100000100001000100001000000100000000110001000111101101110101100100011100110111110111111010111101110001110111111111100010001100000000110000000000000110100011000000101101111000101100001110000000101100100000010000000001000000000100000000000000000100000000010000000001000000000100000000000000001000000000000010000000100001000011000000000001000000010010101011110100000011101001001101111000110001000000000111101100010000000000010000010000101100001000100000001000000010000001000101001100001101001000000000000101110000000000100001100000010000010100000000001100101001101010000000000000000100000000001011100000000000001110000000100100000000000100001001111011101000010000001100000001001010001100001001100000111001100110011101110111000000011000000000111011000000000000100000000001000000000011100000010000001011101000101010000011001111000000010000100010000010000001000010110000100000011001000000000000000000110100110000101010000001010000001001001000011010100000001001110010101000000011001001000000010000000000001000000000000001100000100000000001000001101000111000010010000001100010000000000000000011100100001100010000000000000001110001000000100010001100001001000000000000010000001000100000000010010100100010000101000000011110101110110011111000000100000010011110000001000000000100100110011111010010000001000111100110000010000000011100001000010000001010100001010000001110001010011011110011110000000011010000000000101000000111000100000011111010011000101000100010000110000101000111000100111100110111000100011110001101111100111110000010000001110111111000111010001000000000100110000000110000000010000010000101100011011000001000010101100000000010000000010000000000000000010001000000001000100000010000000100000110010000000000001001001100000000000000000100100000011000000100001110001100000010001001000000000100000110110100101000101110110000111101001000111000000000000101100001100100000111001011000110000110011001000000100000001010000000000011110000011000110101000000101101110100100100001100110111101111101000011100111011111111110111000000110001011010001011000011110110000011000011010101110100001000100100000001010000011100100000111000000000010001101010000010110010001010001000010000000100000 -0.04848760040840716 724.0
0000011110001000000101000000010000110000011000110101001000000000000011111000000000000100000000000000000000000010000000000100001010000001001100000000000100010000000100000011000000011100000000011000011000111010010001101000000010000110000000000010000000000000000000100000000100011000000000000001000110000001000010100000111001000011101111110101100100000100110111110110110000111011010001110111011111100101000010000010100000000000000000000011000000100000110000101000011100010101011011000000000000000010010000000000000010001001001000000000000000000001000000000000000000000001000100001000000010010000100000100100000000100001000000100010100001100000000000001011001101100000100001000000000111100110000000000010010011000010000100011000000000001000000000100001000101001000011100000111000000000101111000000000100010000010000000100110000000001000001101001000000010010000100000000001000001000001000000010000000000000100011000001001000001000011101000000000001100000001000010011000100001000100101001100000011111110100000010001000001000111100000000000000000000101001100000000001010000000010001001101000100000000010000111000000100100000010010000110001000000000010101000010000000010000100000010110001100000100110000100010011001000001000001000100000000010011000100000001000100100001000000010000000001000000000001100000010110000000011001000100100001000100010000000010010100000010000000001100000000100010001010000000100111001100010000000001100000001001000000000001101000000100101000110000010000000000001000010000000000100010000101000000100000111000100000000000000010000000010011111010010010000000011001010010000100000000000010000000000000100000000010000001110101010000001000101101010000011001000000000001100001010000100000001011101001000000010010100011110101001000001000000100000010110100100001100001101110100011110110010000001110011111000011010000000000100000111000000010000001100010000000011100001010000000000001001100001100011000000010010100000100010000001000000110000000001010000000100000000001000000100000010000001000000000000101100100000111000011100101010001100000110001010001001100000000100011010011010101110000100110101001010001110000000001011100001100010010111001011000110100000000000000000100000000000000000000011110000000000110001001000101101110100100100000100110111101111101011001100110001111111100001110100110100010000011000011011000010000001001001110000010110001000000010100011100000011100100000010000000000000000000000000000111110001110001000000000011001000 -0.04549390033935197 634.0
