Rule,Instance,Algorithm,Run,Type,Precision,Recall,F1,ED,HV,Time
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_10,QIMIG,10.0,INTEGRATED,0.995475113,0.956521739,0.968506632,0.0437130847910198,0.9521935862179816,25.39696503
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_14,QIMIG,14.0,INTEGRATED,1.0,0.969565217,0.97990624,0.03043478300000002,0.969565217,24.35271072
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_19,QIMIG,19.0,INTEGRATED,1.0,0.965217391,0.977065935,0.034782608999999964,0.965217391,25.59812903
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_20,QIMIG,20.0,INTEGRATED,1.0,0.965217391,0.977065935,0.034782608999999964,0.965217391,26.16037297
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_1,QIMIG,1.0,INTEGRATED,0.995495495,0.960869565,0.971332419,0.03938885005409845,0.9565413232401097,26.40689683
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_28,QIMIG,28.0,INTEGRATED,1.0,0.965217391,0.977065935,0.034782608999999964,0.965217391,26.20214009
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_22,QIMIG,22.0,INTEGRATED,1.0,0.956521739,0.971406371,0.04347826099999996,0.956521739,36.48901629
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_10,QIMIG,10.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,23.28138804
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_0,QIMIG,0.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,24.38144326
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_4,QIMIG,4.0,INTEGRATED,1.0,0.973913043,0.982753773,0.026086956999999966,0.973913043,43.56535578
