Rule,Algorithm,Run,F1
Rule1,QF-MIG,4,0.5598968356138325
Rule1,QF-MIG,5,0.5560152951837853
Rule1,QF-MIG,2,0.5795647258338044
Rule1,QF-MIG,6,0.5605442176870749
Rule1,QF-MIG,1,0.5702411107983864
Rule1,QF-MIG,3,0.5719646713764133
Rule1,QF-MIG,8,0.5753603730921425
Rule1,QF-MIG,0,0.5639365794164556
Rule1,QF-MIG,9,0.5871078812759688
Rule1,QF-MIG,7,0.5628322647874389
Rule1,QF-MIG,11,0.5552006256192404
Rule1,QF-MIG,19,0.569137568660697
Rule1,QF-MIG,14,0.5638247011952191
Rule1,QF-MIG,15,0.5702714663953143
Rule1,QF-MIG,13,0.55536564279397
Rule1,QF-MIG,16,0.5720819072673318
Rule1,QF-MIG,10,0.5721839636339144
Rule1,QF-MIG,17,0.5591340686109266
Rule1,QF-MIG,18,0.5659231045237504
Rule1,QF-MIG,12,0.545156538242047
Rule1,QF-MIG,21,0.560487914787211
Rule1,QF-MIG,20,0.5638634098092096
Rule1,QF-MIG,22,0.5567828070761347
Rule1,QF-MIG,24,0.5682300884955752
Rule1,QF-MIG,23,0.574331373685518
Rule1,QF-MIG,25,0.5713358672476129
Rule1,QF-MIG,26,0.5678190475874889
Rule1,QF-MIG,28,0.5807486631016043
Rule1,QF-MIG,27,0.5536684181660563
Rule1,QF-MIG,29,0.5752628324056897
Rule1,QF-MIG,0,0.5924351759902902
Rule1,QF-MIG,1,0.569097613212338
Rule1,QF-MIG,2,0.5858712549462974
Rule1,QF-MIG,4,0.5776117821572366
Rule1,QF-MIG,5,0.5638210372333085
Rule1,QF-MIG,3,0.5680251718141922
Rule1,QF-MIG,6,0.5616725131089493
Rule1,QF-MIG,7,0.562699033157102
Rule1,QF-MIG,8,0.5650569435861217
Rule1,QF-MIG,9,0.5651183729675335
Rule1,QF-MIG,10,0.5923722079985874
Rule1,QF-MIG,11,0.5794681508967223
Rule1,QF-MIG,12,0.5680671359797231
Rule1,QF-MIG,13,0.5581194880976064
Rule1,QF-MIG,15,0.5892816356705046
Rule1,QF-MIG,14,0.5646937720619745
Rule1,QF-MIG,16,0.5585429621254947
Rule1,QF-MIG,19,0.5731054866115016
Rule1,QF-MIG,17,0.585986445616901
Rule1,QF-MIG,18,0.5631844591494325
Rule1,QF-MIG,20,0.5619356383583289
Rule1,QF-MIG,22,0.5702069556252436
Rule1,QF-MIG,21,0.5671332777108248
